trade_code,industry
000629.SZ,其他采掘Ⅱ
000630.SZ,工业金属
000631.SZ,房地产开发Ⅱ
000632.SZ,综合Ⅱ
000633.SZ,专用设备
000635.SZ,化学原料
000636.SZ,元件Ⅱ
000637.SZ,石油化工
000638.SZ,房地产开发Ⅱ
000639.SZ,农产品加工
000650.SZ,中药Ⅱ
000651.SZ,白色家电
000652.SZ,综合Ⅱ
000655.SZ,其他采掘Ⅱ
000656.SZ,房地产开发Ⅱ
000657.SZ,稀有金属
000659.SZ,包装印刷Ⅱ
000661.SZ,生物制品Ⅱ
000662.SZ,化学制品
000663.SZ,林业Ⅱ
000665.SZ,文化传媒
000666.SZ,多元金融Ⅱ
000667.SZ,房地产开发Ⅱ
000668.SZ,房地产开发Ⅱ
000669.SZ,燃气Ⅱ
000670.SZ,房地产开发Ⅱ
000671.SZ,房地产开发Ⅱ
000672.SZ,水泥制造Ⅱ
000673.SZ,营销传播
000676.SZ,仪器仪表Ⅱ
000677.SZ,化学纤维
000678.SZ,汽车零部件Ⅱ
000679.SZ,商业物业经营
000680.SZ,专用设备
000681.SZ,文化传媒
000682.SZ,电气自动化设备
000683.SZ,煤炭开采Ⅱ
000685.SZ,水务Ⅱ
000686.SZ,证券Ⅱ
000687.SZ,化学纤维
000688.SZ,工业金属
000690.SZ,电力
000691.SZ,房地产开发Ⅱ
000692.SZ,电力
000693.SZ,稀有金属
000695.SZ,电力
000697.SZ,稀有金属
000698.SZ,石油化工
000700.SZ,汽车零部件Ⅱ
000701.SZ,综合Ⅱ
000702.SZ,饲料Ⅱ
000703.SZ,化学纤维
000705.SZ,医药商业Ⅱ
000707.SZ,化学原料
000708.SZ,钢铁Ⅱ
000709.SZ,钢铁Ⅱ
000710.SZ,汽车零部件Ⅱ
000711.SZ,综合Ⅱ
000712.SZ,水务Ⅱ
000713.SZ,种植业
000715.SZ,一般零售
000716.SZ,食品加工
000717.SZ,钢铁Ⅱ
000718.SZ,房地产开发Ⅱ
000719.SZ,文化传媒
000720.SZ,电力
000721.SZ,餐饮Ⅱ
000722.SZ,电力
000723.SZ,煤炭开采Ⅱ
000725.SZ,光学光电子
000726.SZ,纺织制造
000727.SZ,光学光电子
000728.SZ,证券Ⅱ
000729.SZ,饮料制造
000731.SZ,化学制品
000732.SZ,房地产开发Ⅱ
000733.SZ,元件Ⅱ
000735.SZ,畜禽养殖Ⅱ
000736.SZ,房地产开发Ⅱ
000737.SZ,化学制品
000738.SZ,航空装备Ⅱ
000739.SZ,化学制药
000748.SZ,计算机设备Ⅱ
000750.SZ,证券Ⅱ
000751.SZ,工业金属
000752.SZ,饮料制造
000753.SZ,专业零售
000755.SZ,化学制品
000756.SZ,化学制药
000757.SZ,汽车零部件Ⅱ
000758.SZ,工业金属
000759.SZ,一般零售
000760.SZ,汽车零部件Ⅱ
000761.SZ,钢铁Ⅱ
000762.SZ,其他采掘Ⅱ
000766.SZ,中药Ⅱ
000767.SZ,电力
000768.SZ,航空装备Ⅱ
000776.SZ,证券Ⅱ
000777.SZ,通用机械
000778.SZ,钢铁Ⅱ
000779.SZ,纺织制造
000780.SZ,煤炭开采Ⅱ
000782.SZ,化学纤维
000783.SZ,证券Ⅱ
000785.SZ,一般零售
000786.SZ,其他建材Ⅱ
000788.SZ,化学制药
000789.SZ,水泥制造Ⅱ
000790.SZ,中药Ⅱ
000791.SZ,电力
000792.SZ,化学制品
000793.SZ,文化传媒
000795.SZ,金属非金属新材料
000796.SZ,食品加工
000797.SZ,房地产开发Ⅱ
000798.SZ,渔业
000799.SZ,饮料制造
000800.SZ,汽车整车
000801.SZ,视听器材
000802.SZ,旅游综合Ⅱ
000803.SZ,房地产开发Ⅱ
000806.SZ,高低压设备
000807.SZ,工业金属
000809.SZ,房地产开发Ⅱ
000810.SZ,纺织制造
000811.SZ,通用机械
000812.SZ,包装印刷Ⅱ
000813.SZ,综合Ⅱ
000815.SZ,造纸Ⅱ
000816.SZ,通用机械
000818.SZ,化学制品
000819.SZ,石油化工
000820.SZ,造纸Ⅱ
000821.SZ,专用设备
000822.SZ,化学原料
000823.SZ,元件Ⅱ
000825.SZ,钢铁Ⅱ
000826.SZ,环保工程及服务Ⅱ
000828.SZ,高速公路Ⅱ
000829.SZ,专业零售
000830.SZ,化学制品
000831.SZ,稀有金属
000833.SZ,造纸Ⅱ
000835.SZ,煤炭开采Ⅱ
000836.SZ,通信设备
000837.SZ,通用机械
000838.SZ,房地产开发Ⅱ
000839.SZ,综合Ⅱ
000848.SZ,饮料制造
000850.SZ,纺织制造
000851.SZ,通信设备
000852.SZ,专用设备
000856.SZ,专用设备
000858.SZ,饮料制造
000859.SZ,塑料Ⅱ
000860.SZ,畜禽养殖Ⅱ
000861.SZ,商业物业经营
000862.SZ,电源设备
000863.SZ,房地产开发Ⅱ
000868.SZ,汽车整车
000869.SZ,饮料制造
000875.SZ,电力
000876.SZ,饲料Ⅱ
000877.SZ,水泥制造Ⅱ
000878.SZ,工业金属
000880.SZ,通用机械
000881.SZ,综合Ⅱ
000882.SZ,商业物业经营
000883.SZ,电力
000885.SZ,水泥制造Ⅱ
000886.SZ,房地产开发Ⅱ
000887.SZ,汽车零部件Ⅱ
000888.SZ,景点
000889.SZ,一般零售
000890.SZ,金属制品Ⅱ
000892.SZ,综合Ⅱ
000893.SZ,农产品加工
000895.SZ,食品加工
000897.SZ,房地产开发Ⅱ
000898.SZ,钢铁Ⅱ
000899.SZ,电力
000900.SZ,高速公路Ⅱ
000901.SZ,仪器仪表Ⅱ
000902.SZ,服装家纺
000903.SZ,汽车零部件Ⅱ
000905.SZ,港口Ⅱ
000906.SZ,钢铁Ⅱ
000908.SZ,通用机械
000909.SZ,房地产开发Ⅱ
000910.SZ,家用轻工
000911.SZ,农产品加工
000912.SZ,化学制品
000913.SZ,其他交运设备Ⅱ
000915.SZ,化学制药
000916.SZ,高速公路Ⅱ
000917.SZ,文化传媒
000918.SZ,房地产开发Ⅱ
000919.SZ,医疗服务Ⅱ
000920.SZ,运输设备Ⅱ
000921.SZ,白色家电
000922.SZ,电机Ⅱ
000923.SZ,专用设备
000925.SZ,环保工程及服务Ⅱ
000926.SZ,房地产开发Ⅱ
000927.SZ,汽车整车
000928.SZ,金属非金属新材料
000929.SZ,饮料制造
000930.SZ,农产品加工
000931.SZ,房地产开发Ⅱ
000932.SZ,钢铁Ⅱ
000933.SZ,煤炭开采Ⅱ
000935.SZ,水泥制造Ⅱ
000936.SZ,化学纤维
000937.SZ,煤炭开采Ⅱ
000938.SZ,计算机设备Ⅱ
000939.SZ,环保工程及服务Ⅱ
000948.SZ,计算机设备Ⅱ
000949.SZ,化学纤维
000950.SZ,化学制品
000951.SZ,汽车整车
000952.SZ,化学制药
000953.SZ,化学制品
000955.SZ,纺织制造
000957.SZ,汽车整车
000958.SZ,电力
000959.SZ,钢铁Ⅱ
000960.SZ,稀有金属
000961.SZ,房地产开发Ⅱ
000962.SZ,金属非金属新材料
000963.SZ,医药商业Ⅱ
000965.SZ,房地产开发Ⅱ
000966.SZ,电力
000967.SZ,高低压设备
000968.SZ,煤炭开采Ⅱ
000969.SZ,金属非金属新材料
000970.SZ,金属非金属新材料
000971.SZ,纺织制造
000972.SZ,农产品加工
000973.SZ,塑料Ⅱ
000975.SZ,工业金属
000976.SZ,化学纤维
000977.SZ,计算机设备Ⅱ
000978.SZ,景点
000979.SZ,房地产开发Ⅱ
000980.SZ,汽车零部件Ⅱ
000981.SZ,房地产开发Ⅱ
000982.SZ,纺织制造
000983.SZ,煤炭开采Ⅱ
000985.SZ,化学制品
000987.SZ,一般零售
