"datetime","cap","return","cash","stockcap","IFcap","lowestcap","return2","net value","position"
"2007-05-15",43770522.78693,0.0122025397890977,9286139.78693,34484383,-30278942.4,43019342.78693,NA,1.459017426231,1
"2007-05-16",44153969.38693,0.0087603842857118,8482671.38693,35671298,-31082410.8,42221957.38693,NA,1.47179897956433,1
"2007-05-17",44085081.18693,-0.00156018135983027,7824800.18693,36260281,-31740282,43051404.18693,NA,1.469502706231,1
"2007-05-18",44600328.58693,0.0116875683593558,7841398.58693,36758930,-31723683.6,43422083.58693,NA,1.48667761956433,1
"2007-05-21",45600360.98693,0.022422085928153,7380960.98693,38219400,-32184121.2,42511504.98693,NA,1.52001203289767,1
"2007-05-22",45640509.58693,0.000880444784450374,7052974.58693,38587535,-32512107.6,44889167.58693,NA,1.52135031956433,1
"2007-05-23",46130953.18693,0.0107457958826218,6477944.18693,39653009,-33087138,44519924.18693,NA,1.53769843956433,1
"2007-05-24",45998826.98693,-0.00286415499512005,6639198.98693,39359628,-32925883.2,44596375.98693,NA,1.53329423289767,1
"2007-05-25",46108523.38693,0.00238476516001529,6088965.38693,40019558,-33476116.8,44726307.38693,NA,1.53695077956433,1
"2007-05-28",46325430.98693,0.00470428424219493,5355426.98693,40970004,-34209655.2,45119744.98693,NA,1.54418103289767,1
"2007-05-29",46261072.58693,-0.00138926716123067,4551454.58693,41709618,-35013627.6,44659623.58693,NA,1.54203575289767,1
"2007-05-30",45348487.58693,-0.019726844817209,6918826.58693,38429661,-32646255.6,45095090.58693,NA,1.51161625289767,1
"2007-05-31",44670118.38693,-0.014959025892531,6570285.38693,38099833,-32994796.8,42318529.38693,NA,1.489003946231,1
"2007-06-01",43463871.58693,-0.027003438619785,7611868.58693,35852003,-31953213.6,43065479.58693,0.0186840911155564,1.44879571956433,1
"2007-06-04",42723799.225,-0.0170272995687881,10975668.225,31748131,-28442591.1,42524261.225,NA,1.42412664083333,1
"2007-06-05",43107813.025,0.00898828772173643,9977732.025,33130081,-29440527.3,38999723.025,NA,1.43692710083333,1
"2007-06-06",43307104.325,0.00462309001582661,9629861.325,33677243,-29788398,41648566.325,NA,1.44357014416667,1
"2007-06-07",43645286.925,0.00780894047919012,8619596.925,35025690,-30798662.4,42020860.925,NA,1.4548428975,1
"2007-06-08",43884449.625,0.00547969132179094,8331536.625,35552913,-31086722.7,42804073.625,NA,1.4628149875,1
"2007-06-11",44344333.125,0.010479418197785,7570177.125,36774156,-31848082.2,42719185.125,NA,1.4781444375,1
"2007-06-12",44832023.425,0.0109978043558638,6725776.425,38106247,-32692482.9,42345647.425,NA,1.49440078083333,1
"2007-06-13",44860981.525,0.000645924448367641,6060288.525,38800693,-33357970.8,43793799.525,NA,1.49536605083333,1
"2007-06-14",44819763.225,-0.000918800672629838,6404109.225,38415654,-33014150.1,43854244.225,NA,1.4939921075,1
"2007-06-15",44755847.225,-0.00142606732835993,6213273.225,38542574,-33204986.1,43761279.225,NA,1.49186157416667,1
"2007-06-18",44847727.425,0.00205292058349582,5174950.425,39672777,-34243308.9,43712344.425,NA,1.4949242475,1
"2007-06-19",44675477.325,-0.00384077655413095,4968959.325,39706518,-34449300,43304174.325,NA,1.4891825775,1
"2007-06-20",45083004.425,0.00912194170943859,5741707.425,39341297,-33676551.9,44315690.425,NA,1.50276681416667,1
"2007-06-21",44966314.325,-0.00258833903126665,5420291.325,39546023,-33997968,43697850.325,NA,1.49887714416667,1
"2007-06-22",44521185.725,-0.00989915688403475,6601708.72500001,37919477,-32816550.6,43444520.725,NA,1.48403952416667,1
"2007-06-25",44012932.325,-0.011415989752371,8009780.325,36003152,-31408479,43435072.325,NA,1.46709774416667,1
"2007-06-26",44198930.025,0.00422597836986993,7599734.025,36599196,-31818525.3,41976324.025,NA,1.4732976675,1
"2007-06-27",44168236.925,-0.000694430837638871,6690338.925,37477898,-32727920.4,42824853.925,NA,1.47227456416667,1
"2007-06-28",43689029.125,-0.0108496021884171,8164231.125,35524798,-31254028.2,43373608.125,NA,1.45630097083333,1
"2007-06-29",43302418.525,-0.00884914606121945,8929227.525,34373191,-30489031.8,42363568.525,NA,1.44341395083333,1
"2007-07-02",43053417.825,-0.00575027235156034,8981253.825,34072164,-30437005.5,41803289.825,0.00771510506975526,1.4351139275,1
"2007-07-03",42941415.05025,-0.00260148393340709,8042761.05025,34898654,-31041038.7,41833594.05025,NA,1.431380501675,1
"2007-07-04",43036610.55025,0.00221686919000219,8760785.55025,34275825,-30323014.2,42596132.55025,NA,1.43455368500833,1
"2007-07-05",42634123.25025,-0.00935220722203611,10430576.25025,32203547,-28653223.5,42324940.25025,NA,1.421137441675,1
"2007-07-06",42968433.45025,0.00784137621495584,9030507.45025,33937926,-30053292.3,40451483.45025,NA,1.43228111500833,1
"2007-07-09",43281623.55025,0.00728884147853837,8131253.55025,35150370,-30952546.2,41862980.55025,NA,1.44272078500833,1
"2007-07-10",42959860.65025,-0.00743416890603543,8501269.65025,34458591,-30582530.1,42350753.65025,NA,1.43199535500833,1
"2007-07-11",42961039.35025,2.74372398365585e-05,8385820.35025,34575219,-30697979.4,41963524.35025,NA,1.43203464500833,1
"2007-07-12",42974651.65025,0.000316852203900986,8166739.65025,34807912,-30917060.1,42252376.65025,NA,1.43248838834167,1
"2007-07-13",42828629.35025,-0.00339787047463258,8140795.35025,34687834,-30943004.4,42119376.35025,NA,1.42762097834167,1
"2007-07-16",42901474.15025,0.00170084359703138,9130275.15025,33771199,-29953524.6,42543485.15025,NA,1.43004913834167,1
"2007-07-17",42947578.65025,0.00107466004171641,8387626.65025,34559952,-30696173.1,41491923.65025,NA,1.43158595500833,1
"2007-07-18",43108108.35025,0.0037378056003412,8242450.35025,34865658,-30841349.4,42107634.35025,NA,1.43693694500833,1
"2007-07-19",43137216.05025,0.000675225638840482,8247124.05025,34890092,-30836675.7,42435213.05025,NA,1.437907201675,1
"2007-07-20",43070067.35025,-0.00155663035652975,6911539.35025,36158528,-32172260.4,41589376.35025,NA,1.435668911675,1
"2007-07-23",43222653.45025,0.00354274115150921,5414343.45025,37808310,-33669456.3,41528328.45025,NA,1.44075511500833,1
"2007-07-24",43037363.55025,-0.00428687008337603,5376848.55025,37660515,-33706951.2,42542317.55025,NA,1.43457878500833,1
"2007-07-25",42990706.45025,-0.00108410683534366,4614549.45025,38376157,-34469250.3,41700132.45025,NA,1.43302354834167,1
"2007-07-26",43138845.25025,0.00344583311677904,4228001.25025,38910844,-34855798.5,42093686.25025,NA,1.43796150834167,1
"2007-07-27",43504078.45025,0.00846645750207875,4195941.45024999,39308137,-34887858.3,42290319.45025,NA,1.45013594834167,1
"2007-07-30",43628757.05025,0.0028659060125269,3360394.05025,40268363,-35723405.7,42387914.05025,NA,1.454291901675,1
"2007-07-31",43767114.35025,0.00317124092810261,2953231.35025,40813883,-36130568.4,42460254.35025,NA,1.458903811675,1
"2007-08-01",43480330.05025,-0.00655250647106842,4330936.05025,39149394,-34752863.7,42929152.05025,0.0125500056150771,1.44934433500833,1
"2007-08-02",43061595.01588,-0.00963044746638475,7618890.01587999,35442705,-31940582.4,42001656.01588,NA,1.43538650052933,1
"2007-08-03",42707723.61588,-0.00821779592394323,6451143.61588,36256580,-33108328.8,41617281.61588,NA,1.423590787196,1
"2007-08-06",42847971.61588,0.00328390249176946,5690787.61587999,37157184,-33868684.8,41709989.61588,NA,1.42826572052933,1
"2007-08-07",42864326.01588,0.000381684345448496,5542734.01588,37321592,-34016738.4,41763138.01588,NA,1.428810867196,1
"2007-08-08",42814627.01588,-0.00115944900152154,5949246.01587999,36865381,-33610226.4,41728994.01588,NA,1.42715423386267,1
"2007-08-09",42439411.21588,-0.00876372927085944,5163013.21587999,37276398,-34396459.2,41526327.21588,NA,1.41464704052933,1
"2007-08-10",42063237.81588,-0.0088637751849685,5527354.81588,36535883,-34032117.6,41046625.81588,NA,1.402107927196,1
"2007-08-13",42014318.01588,-0.00116300604851549,5566890.01587999,36447428,-33992582.4,41049757.01588,NA,1.400477267196,1
"2007-08-14",42231055.81588,0.00515866519404362,5031382.81587999,37199673,-34528089.6,41217409.81588,NA,1.40770186052933,1
"2007-08-15",42489368.41588,0.00611665029465991,5008472.41587999,37480896,-34551000,41302649.41588,NA,1.41631228052933,1
"2007-08-16",42640729.01588,0.00356231701348197,5561490.01587999,37079239,-33997982.4,41705375.01588,NA,1.42135763386267,1
"2007-08-17",42975079.81588,0.00784111359530226,6248074.81588,36727005,-33311397.6,42402041.81588,NA,1.43250266052933,1
"2007-08-20",42543279.01588,-0.0100477021066625,4384398.01588,38158881,-35175074.4,41490482.01588,NA,1.41810930052933,1
"2007-08-21",42545166.21588,4.43595332482172e-05,3755953.21587999,38789213,-35803519.2,41393446.21588,NA,1.418172207196,1
"2007-08-22",42384269.81588,-0.00378177862048035,3187318.81587999,39196951,-36372153.6,41144395.81588,NA,1.41280899386267,1
"2007-08-23",42184736.41588,-0.0047077229563417,2580776.41587999,39603960,-36978696,41182921.41588,NA,1.40615788052933,1
"2007-08-24",41659448.21588,-0.012452091553244,1992889.21587999,39666559,-37566583.2,40936009.21588,NA,1.38864827386267,1
