"datetime","cap","return","cash","stockcap","IFcap","lowestcap","return2","net value"
"2013-01-04",109612947.086596,-0.00418781321123651,6592475.086596,103020472,-91955160,108356885.086596,0.00692529872702896,3.65376490288653
"2013-01-07",109690026.175696,0.000703193291930138,21526878.175696,88163148,-78275880,108193550.175696,NA,3.65633420585653
"2013-01-08",110353507.175696,0.00604869032428956,21588678.175696,88764829,-78214080,108612159.175696,NA,3.67845023918987
"2013-01-09",110660931.175696,0.00278581087151619,21767898.175696,88893033,-78034860,109412628.175696,NA,3.68869770585653
"2013-01-10",110863871.175696,0.00183389022524838,21384738.175696,89479133,-78418020,109491614.175696,NA,3.6954623725232
"2013-01-11",110422475.175696,-0.00398142330155948,22596018.175696,87826457,-77206740,109748082.175696,NA,3.6807491725232
"2013-01-14",110243379.175696,-0.00162191618794127,19876818.175696,90366561,-79925940,106821734.175696,NA,3.67477930585653
"2013-01-15",111683230.175696,0.0130606573452841,19573998.175696,92109232,-80228760,109405139.175696,NA,3.72277433918987
"2013-01-16",112545779.735696,0.0077231788393215,20491966.735696,92053813,-81364500,110658416.735696,NA,3.75152599118987
"2013-01-17",112035261.735696,-0.004536091901437,20687266.735696,91347995,-81169200,111132153.735696,NA,3.7345087245232
"2013-01-18",111781304.735696,-0.00226675955467581,19628866.735696,92152438,-82227600,110425474.735696,NA,3.72604349118987
"2013-01-21",111997925.735696,0.00193790008545869,19698166.735696,92299759,-82158300,110699796.735696,NA,3.73326419118987
"2013-01-22",111039694.735696,-0.00855579238370296,19874566.735696,91165128,-81981900,109993122.735696,NA,3.70132315785653
"2013-01-23",111381480.735696,0.00307805241011816,19465066.735696,91916414,-82391400,109486354.735696,NA,3.7127160245232
"2013-01-24",111207427.735696,-0.00156267450253267,20252566.735696,90954861,-81603900,110131268.735696,NA,3.70691425785653
"2013-01-25",111427171.735696,0.00197598311978098,20183266.735696,91243905,-81673200,110207438.735696,NA,3.71423905785653
"2013-01-28",111116029.735696,-0.00279233507548793,18242866.735696,92873163,-83613600,108974667.735696,NA,3.70386765785653
"2013-01-29",110876129.735696,-0.0021590044260098,17719966.735696,93156163,-84136500,109573009.735696,NA,3.69587099118987
"2013-01-30",111150145.735696,0.00247137053442614,16837966.735696,94312179,-85018500,109321506.735696,NA,3.70500485785653
"2013-01-31",110541849.735696,-0.0054727413623592,16812766.735696,93729083,-85043700,109537691.735696,NA,3.6847283245232
"2013-02-01",109894074.735696,-0.00585999783384139,15344866.735696,94549208,-86511600,108009541.735696,0.00186022892977689,3.6631358245232
"2013-02-04",109927020.782446,0.000299798208677204,21377148.782446,88549872,-78785400,108070189.782446,NA,3.66423402608153
"2013-02-05",110459189.782446,0.00484111182320857,20698848.782446,89760341,-79463700,108141772.782446,NA,3.6819729927482
"2013-02-06",109760262.782446,-0.00632746810271345,20294148.782446,89466114,-79868400,108784779.782446,NA,3.65867542608153
"2013-02-07",110110556.782446,0.00319144644081537,20351148.782446,89759408,-79811400,108879173.782446,NA,3.6703518927482
"2013-02-08",111691868.782446,0.014361129815412,20812848.782446,90879020,-79349700,110244814.782446,NA,3.7230622927482
"2013-02-18",112132602.782446,0.00394598107099875,21719148.782446,90413454,-78443400,111409582.782446,NA,3.73775342608153
"2013-02-19",111517980.782446,-0.00548120693490406,22950348.782446,88567632,-77212200,110841553.782446,NA,3.71726602608153
"2013-02-20",112568673.782446,0.00942173623148479,22916148.782446,89652525,-77246400,110873395.782446,NA,3.75228912608153
"2013-02-21",112882692.782446,0.0027895771483184,25629348.782446,87253344,-74533200,111778209.782446,NA,3.76275642608153
"2013-02-22",113189047.782446,0.00271392356479683,26256348.782446,86932699,-73906200,112263063.782446,NA,3.77296825941487
"2013-02-25",113129385.782446,-0.000527100467482389,25920048.782446,87209337,-74242500,112023213.782446,NA,3.77097952608153
"2013-02-26",112686139.782446,-0.00391804478504276,27071448.782446,85614691,-73091100,112209221.782446,NA,3.75620465941487
