"datetime","cap","return","cash","stockcap","IFcap","lowestcap","return2","net_value","position"
"2007-02-26",37713389.95239,0.0223638956135304,3612970.95238999,34100419,-27618295.2,36001332.95239,NA,1.257112998413,1
"2007-02-27",37136859.75239,-0.0152871486951405,6164847.75238999,30972012,-25066418.4,37079757.75239,NA,1.23789532507967,1
"2007-02-28",37555492.95239,0.0112727140310529,5276641.95238999,32278851,-25954624.2,35382818.95239,0.0765248548265123,1.25184976507967,1
"2007-03-01",37132010.69349,-0.0112761736195783,8269477.69348999,28862533,-25972212,36478566.69349,NA,1.237733689783,1
"2007-03-02",37490254.19349,0.00964783466635177,7900035.19348999,29590219,-26341654.5,36466709.19349,NA,1.249675139783,1
"2007-03-05",38211491.69349,0.0192379997286132,8247826.69348999,29963665,-25993863,36795885.69349,NA,1.273716389783,1
"2007-03-06",38111760.19349,-0.00260998708974758,7778613.19348999,30333147,-26463076.5,37165600.19349,NA,1.27039200644967,1
"2007-03-07",38371220.69349,0.00680788551047629,7052611.69348999,31318609,-27189078,37345113.69349,NA,1.279040689783,1
"2007-03-08",38825377.69349,0.0118358757368657,6651574.69348999,32173803,-27590115,37685586.69349,NA,1.29417925644967,1
"2007-03-09",38553255.19349,-0.00700888223543616,6822063.19348999,31731192,-27419626.5,38038844.19349,NA,1.28510850644967,1
"2007-03-12",38464247.69349,-0.00230868961786213,6771883.69348999,31692364,-27469806,37663261.69349,NA,1.282141589783,1
"2007-03-13",38387052.19349,-0.00200694163096982,6519915.19348999,31867137,-27721774.5,37586860.19349,NA,1.27956840644967,1
"2007-03-14",38568995.19349,0.00473969710106692,6969441.19348999,31599554,-27272248.5,37611352.19349,NA,1.28563317311633,1
"2007-03-15",38959421.69349,0.0101228071418855,6463456.69348999,32495965,-27778233,37794418.69349,NA,1.298647389783,1
"2007-03-16",38812596.69349,-0.00376866477010707,6897316.69348999,31915280,-27344373,38342943.69349,NA,1.29375322311633,1
"2007-03-19",38557105.19349,-0.00658269535578004,6317853.19348999,32239252,-27923836.5,36771557.19349,NA,1.285236839783,1
"2007-03-20",38871285.19349,0.00814843330232784,6177594.19348999,32693691,-28064095.5,37915751.19349,NA,1.29570950644967,1
"2007-03-21",39008149.19349,0.00352095381767636,5864421.19348999,33143728,-28377268.5,37860905.19349,NA,1.300271639783,1
"2007-03-22",38678948.69349,-0.00843927504396802,5772808.69348999,32906140,-28468881,38216051.69349,NA,1.289298289783,1
"2007-03-23",38588133.69349,-0.00234791800365775,5720896.69348999,32867237,-28520793,37538253.69349,NA,1.28627112311633,1
"2007-03-26",38570684.69349,-0.000452185641798608,5219332.69348999,33351352,-29022357,37710464.69349,NA,1.285689489783,1
"2007-03-27",38849810.19349,0.00723672660255126,5009448.19348999,33840362,-29232241.5,37938235.19349,NA,1.29499367311633,1
"2007-03-28",38182541.19349,-0.0171756051490778,4866375.19348999,33316166,-29375314.5,36846308.19349,NA,1.27275137311633,1
"2007-03-29",37621674.19349,-0.0146890956565149,5016987.19348999,32604687,-29224702.5,37298513.19349,NA,1.25405580644967,1
"2007-03-30",37913982.69349,0.00776968346747786,5032957.69348999,32881025,-29208732,37141057.69349,0.0210592420231392,1.26379942311633,1
