"datetime","cap","return","cash","stockcap","IFcap","lowestcap","return2","net value","position"
"2004-12-31",3e+07,0,3e+07,0,0,3e+07,NA,1,1
"2005-01-04",29936549.96801,-0.00211500106633333,6337822.96801,23598727,-20933512.2,29687073.96801,NA,0.997884998933667,1
"2005-01-05",30012118.96801,0.00252430557565098,6129721.96801,23882397,-21141613.2,29557761.96801,NA,1.00040396560033,1
"2005-01-06",30021025.96801,0.000296780111044281,6329728.96801,23691297,-20941606.2,29796054.96801,NA,1.00070086560033,1
"2005-01-07",30149450.76801,0.00427782848383829,6313029.76801,23836421,-20958305.4,29778961.76801,NA,1.004981692267,1
"2005-01-10",30143554.46801,-0.000195569068417556,6101712.46801,24041842,-21169622.7,29678723.46801,NA,1.00478514893367,1
"2005-01-11",30202332.66801,0.00194994256773451,6032359.66801,24169973,-21238975.5,29899026.66801,NA,1.006744422267,1
"2005-01-12",30199569.76801,-9.14796890150171e-05,6040602.76801,24158967,-21230732.4,29936507.76801,NA,1.00665232560033,1
"2005-01-13",30313343.06801,0.0037673814850343,6037855.06801,24275488,-21233480.1,29984050.06801,NA,1.01044476893367,1
"2005-01-14",30295815.36801,-0.000578217320362229,6220417.36801,24075398,-21050917.8,30153946.36801,NA,1.009860512267,1
"2005-01-17",30280282.56801,-0.000512704471271608,6664607.56801,23615675,-20606727.6,30043069.56801,NA,1.009342752267,1
"2005-01-18",30292740.46801,0.000411419542470259,6510459.46801,23782281,-20760875.7,29799050.46801,NA,1.00975801560033,1
"2005-01-19",30347745.16801,0.00181577167170088,6669762.16801,23677983,-20601573,30097867.16801,NA,1.01159150560033,1
"2005-01-20",30251434.66801,-0.00317356361953114,6903316.66801,23348118,-20368018.5,29906809.66801,NA,1.00838115560033,1
"2005-01-21",30195720.96801,-0.00184168786080474,6341869.96801,23853851,-20929465.2,29202378.96801,NA,1.006524032267,1
"2005-01-24",30257974.26801,0.00206165966581673,6011102.26801,24246872,-21260232.9,29851773.26801,NA,1.008599142267,1
"2005-01-25",30212479.66801,-0.00150355736299568,6018727.66801,24193752,-21252607.5,29751567.66801,NA,1.00708265560033,1
"2005-01-26",30248305.76801,0.00118580468712515,6185868.76801,24062437,-21085466.4,30004753.76801,NA,1.00827685893367,1
"2005-01-27",30178642.86801,-0.0023030347727333,6511694.86801,23666948,-20759640.3,30017074.86801,NA,1.005954762267,1
"2005-01-28",30053647.46801,-0.00414184960359831,6627183.46801,23426464,-20644151.7,29789256.46801,NA,1.00178824893367,1
"2005-01-31",29840182.46801,-0.00710279842828454,6932412.46801,22907770,-20338922.7,29591128.46801,-0.00321905831176195,0.994672748933667,1
"2005-02-01",29740524.91041,-0.00333971006064848,5793561.91041,23946963,-21222112.2,29356787.91041,NA,0.991350830347,1
"2005-02-02",29915357.51041,0.00587859832759041,4662205.51041,25253152,-22353468.6,28544477.51041,NA,0.997178583680333,1
