"datetime","cap","return","cash","stockcap","IFcap","lowestcap","return2","beta","net_value","position"
"2006-10-24",35639957.89518,0.00584355721397345,4353671.89518001,31286286,-27649036.8,34635174.89518,NA,0.883743017627596,1.187998596506,1
"2006-10-25",35333700.69518,-0.0085930853482129,4223668.69518001,31110032,-27779040,34876335.69518,NA,0.892928686155,1.17779002317267,1
"2006-10-26",35039883.69518,-0.00831548901528112,4045684.69518001,30994199,-27957024,34658586.69518,NA,0.902008275806708,1.16799612317267,1
"2006-10-27",35009207.69518,-0.00087545952683088,4372948.69518001,30636259,-27629760,34673110.69518,NA,0.901864682629821,1.16697358983933,1
"2006-10-30",35365482.89518,0.0101766141953861,4234919.89518001,31130563,-27767788.8,34424537.89518,NA,0.891978368653339,1.17884942983933,1
"2006-10-31",35465931.09518,0.00284028922488422,3884827.09518001,31581104,-28117881.6,34754410.09518,0.0110639449199632,0.890338779796932,1.18219770317267,1
"2006-11-01",35273348.23667,-0.00543008043390059,4965662.23667,30307686,-27073184.7,34674661.23667,NA,0.893277853677117,1.17577827455567,1
"2006-11-02",35302451.13667,0.00082506769146895,4961142.13667001,30341309,-27077704.8,34769123.13667,NA,0.892436934741345,1.17674837122233,1
"2006-11-03",35234984.63667,-0.00191109959302282,4803121.63667001,30431863,-27235725.3,34793338.63667,NA,0.89497397185312,1.174499487889,1
"2006-11-06",34897706.63667,-0.00957224768161202,4444441.63667,30453265,-27594405.3,34308580.63667,NA,0.906123047889939,1.163256887889,1
"2006-11-07",34536499.73667,-0.0103504480612616,4294143.73667001,30242356,-27744703.2,34023840.73667,NA,0.917412095803647,1.151216657889,1
"2006-11-08",34604410.03667,0.00196633418319148,4622281.03667001,29982129,-27416565.9,34237378.03667,NA,0.914430256103561,1.15348033455567,1
"2006-11-09",34400767.73667,-0.00588486553546808,4136580.73667,30264187,-27902266.2,33806263.73667,NA,0.921956575274928,1.146692257889,1
"2006-11-10",34094744.33667,-0.00889583053327558,4514512.33667001,29580232,-27524334.6,33821102.33667,NA,0.930497590417817,1.136491477889,1
"2006-11-13",33810020.23667,-0.00835096744496711,5032091.23667001,28777929,-27006755.7,33446779.23667,NA,0.938453760866531,1.12700067455567,1
"2006-11-14",33918080.13667,0.00319609095893991,4702746.13667,29215334,-27336100.8,32989651.13667,NA,0.935676477291001,1.13060267122233,1
"2006-11-15",33764509.33667,-0.00452769730424585,3952702.33667001,29811807,-28086144.6,32902939.33667,NA,0.942114800354101,1.12548364455567,1
"2006-11-16",33679202.53667,-0.00252652272092546,3979676.53667001,29699526,-28059170.4,33231640.53667,NA,0.9447682902414,1.12264008455567,1
"2006-11-17",33729810.73667,0.00150265434417252,3452709.73667,30277101,-28586137.2,32777047.73667,NA,0.944150405945404,1.12432702455567,1
"2006-11-20",33293796.53667,-0.0129266719995548,2884055.53667001,30409741,-29154791.4,32675397.53667,NA,0.958731986569698,1.109793217889,1
"2006-11-21",33098539.23667,-0.00586467511402433,2534690.23667001,30563849,-29504156.7,32258944.23667,NA,0.965328571673025,1.10328464122233,1
"2006-11-22",33394045.53667,0.00892807679175767,2319134.53667001,31074911,-29719712.4,32501499.53667,NA,0.956389300680539,1.11313485122233,1
"2006-11-23",33431740.73667,0.0011288000418701,2119920.73667001,31311820,-29918926.2,32803673.73667,NA,0.955515399615864,1.114391357889,1
"2006-11-24",33631340.93667,0.00597038011188777,2089432.93667001,31541908,-29949414,32925736.93667,NA,0.949511805056308,1.121044697889,1
"2006-11-27",33945796.63667,0.00935007915955932,1810888.63667001,32134908,-30227958.3,33022702.63667,NA,0.940658000327868,1.13152655455567,1
"2006-11-28",34022420.73667,0.00225724854302656,1953390.73667001,32069030,-30085456.2,33492160.73667,NA,0.938146747812453,1.13408069122233,1
"2006-11-29",34041258.33667,0.000553681942440098,1530148.33667001,32511110,-30508698.6,32671726.33667,NA,0.938408396391264,1.13470861122233,1
"2006-11-30",33957436.53667,-0.00246235903417558,666095.536670005,33291341,-31372751.4,33056342.53667,-0.0373061182389254,0.942369711090941,1.13191455122233,1
"2006-12-01",33984846.77199,0.000807193890810964,4522720.77199,29462126,-25938360,33055055.77199,NA,0.880396750730073,1.132828225733,1
"2006-12-04",33828791.77199,-0.00459189947352123,3750040.77199,30078751,-26711040,33102793.77199,NA,0.888036873605556,1.12762639239967,1
"2006-12-05",33576990.77199,-0.00744339324020693,3547615.77199,30029375,-26913465,33039560.77199,NA,0.896237933689929,1.119233025733,1
"2006-12-06",33382106.77199,-0.00580409368199164,3769915.77199,29612191,-26691165,32220715.77199,NA,0.901357315978409,1.11273689239967,1
"2006-12-07",33386855.77199,0.000142261842023261,3825370.77199,29561485,-26635710,32780181.77199,NA,0.901027468680954,1.11289519239967,1
"2006-12-08",33010567.77199,-0.0112705431913023,4787320.77199,28223247,-25673760,32798060.77199,NA,0.909667126535795,1.10035225906633,1
"2006-12-11",32709450.77199,-0.00912183643976905,3612220.77199,29097230,-26848860,31600428.77199,NA,0.922729070774091,1.090315025733,1
"2006-12-12",32508285.77199,-0.00615005740702512,3419260.77199,29089025,-27041820,31847410.77199,NA,0.92962277009972,1.083609525733,1
"2006-12-13",32740805.77199,0.00715263799607513,3403240.77199,29337565,-27057840,32026803.77199,NA,0.922293312345452,1.09136019239967,1
"2006-12-14",32954671.77199,0.00653209336048044,2918935.77199,30035736,-27542145,32029314.77199,NA,0.91697919438365,1.09848905906633,1
"2006-12-15",32925560.77199,-0.000883364889852856,2446540.77199,30479020,-28014540,32215014.77199,NA,0.919141757182482,1.09751869239967,1
"2006-12-18",32948327.77199,0.000691468860854361,1719460.77199,31228867,-28741620,32014984.77199,NA,0.920354235073594,1.09827759239967,1
"2006-12-19",32929625.77199,-0.000567616060196507,1639420.77199,31290205,-28821660,31894907.77199,NA,0.921108059215336,1.09765419239967,1
"2006-12-20",33070861.77199,0.00428902535904729,1412875.77199,31657986,-29048205,31946080.77199,NA,0.917563265079465,1.10236205906633,1
"2006-12-21",33360040.77199,0.00874422329825464,1826305.77199,31533735,-28634775,32828505.77199,NA,0.908067978626699,1.11200135906633,1
"2006-12-22",33394148.77199,0.00102242081276582,2026420.77199,31367728,-28434660,32720710.77199,NA,0.906494088446572,1.11313829239967,1
"2006-12-25",33042399.77199,-0.0105332524689187,1374520.77199,31667879,-29086560,32417573.77199,NA,0.918487783788741,1.101413325733,1
"2006-12-26",32767203.77199,-0.00832857183191893,1387510.77199,31379693,-29073570,32197074.77199,NA,0.926509064317487,1.092240125733,1
"2006-12-27",32348317.77199,-0.0127836968608858,717925.771990008,31630392,-29743155,31622730.77199,NA,0.940334694555793,1.07827725906633,1
"2006-12-28",32146863.77199,-0.0062276499637467,762085.771990004,31384778,-29698995,31467888.77199,NA,0.946286604289506,1.071562125733,1
"2006-12-29",31757252.77199,-0.0121197203796743,-154624.228009996,31911877,-30615705,31071933.77199,-0.0655466836424273,0.959382771499151,1.05857509239967,1
"2007-01-04",31743042.61994,-0.000447461628750756,4427924.61994,27315118,-24184976.4,31069122.61994,NA,0.885406257443223,1.05810142066467,1
"2007-01-05",32430356.91994,0.0216524391889343,4360169.91994001,28070187,-24252731.1,31160039.91994,NA,0.864003189576186,1.08101189733133,1
"2007-01-08",32886318.81994,0.0140597250016588,3673695.81994,29212623,-24939205.2,31514045.81994,NA,0.853713314275134,1.09621062733133,1
