"datetime","cap","return","cash","stockcap","IFcap","lowestcap","return2","net value"
"2007-11-28",41727460.51115,-0.00339602068765599,12639984.51115,29087476,-22314004.8,41387528.51115,NA,1.39091535037167
"2007-11-29",41421895.31115,-0.00732288033484219,11712053.31115,29709842,-23241936,40343142.31115,NA,1.380729843705
"2007-11-30",41335969.91115,-0.00207439566332135,12214430.91115,29121539,-22739558.4,41031952.91115,NA,1.377865663705
"2007-12-03",41557041.11115,0.00534815562511737,12045154.11115,29511887,-22908835.2,40684667.11115,0.0411626974445911,1.385234703705
"2007-12-04",41310262.80841,-0.00593830302017806,7912222.80841,33398040,-28975284,40853944.80841,NA,1.37700876028033
"2007-12-05",41270998.80841,-0.000950465993937,7091824.80841,34179174,-29795682,40240490.80841,NA,1.37569996028033
"2007-12-06",41390927.80841,0.0029058904185173,7061176.80841,34329751,-29826330,40857672.80841,NA,1.37969759361367
"2007-12-07",41626406.80841,0.00568914524192321,6639406.80841,34987000,-30248100,40777615.80841,NA,1.38754689361367
"2007-12-10",42022181.80841,0.00950778677154607,6086134.80841,35936047,-30801372,40301503.80841,NA,1.40073939361367
"2007-12-11",42411977.80841,0.00927595815412863,6047506.80841,36364471,-30840000,41587014.80841,NA,1.41373259361367
"2007-12-12",42893877.80841,0.0113623562234451,6423166.80841,36470711,-30464340,42177889.80841,NA,1.429795926947
"2007-12-13",42515909.80841,-0.00881170039436008,7581718.80841,34934191,-29305788,42363784.80841,NA,1.41719699361367
"2007-12-14",42805465.80841,0.00681053284064292,7021594.80841,35783871,-29865912,41078335.80841,NA,1.42684886028033
"2007-12-17",43335154.80841,0.012374330941072,7743772.80841,35591382,-29143734,42776771.80841,NA,1.44450516028033
"2007-12-18",43398572.80841,0.00146343079378353,7908052.80841,35490520,-28979454,42802411.80841,NA,1.44661909361367
"2007-12-19",43561305.80841,0.00374973160335035,7209796.80841,36351509,-29677710,42770836.80841,NA,1.452043526947
"2007-12-20",43399585.80841,-0.00371246905938205,6664336.80841,36735249,-30223170,42788941.80841,NA,1.44665286028033
"2007-12-21",43646683.80841,0.00569355664108939,6276394.80841,37370289,-30611112,42654245.80841,NA,1.45488946028033
"2007-12-24",43775094.80841,0.00294205627542454,5644702.80841,38130392,-31242804,43018539.80841,NA,1.459169826947
"2007-12-25",44045887.80841,0.00618600601975094,5586628.80841,38459259,-31300878,43340664.80841,NA,1.46819626028033
"2007-12-26",44233349.80841,0.00425606133347634,5297350.80841,38935999,-31590156,43359297.80841,NA,1.47444499361367
"2007-12-27",44122411.80841,-0.00250801715177595,4682326.80841,39440085,-32205180,43260895.80841,NA,1.47074706028033
"2007-12-28",44143603.80841,0.000480300127110533,4857856.80841,39285747,-32029650,43557203.80841,NA,1.47145346028033
"2008-01-02",44675302.80841,0.0120447574309441,4576888.80841,40098414,-32310618,43342351.80841,0.0814577243336962,1.48917676028033
"2008-01-03",45176890.42399,0.0112274027046009,8829699.42399001,36347191,-30905593.8,43936932.42399,NA,1.50589634746633
"2008-01-04",44865578.22399,-0.0068909612210647,8478488.22399001,36387090,-31256805,44114753.22399,NA,1.495519274133
"2008-01-07",45063011.12399,0.00440054286193137,8062713.12399001,37000298,-31672580.1,43914134.12399,NA,1.50210037079967
