Code,Name,industry_sw,industry_swcode
000534.SZ,万泽股份,房地产,6.118E+15
000536.SZ,华映科技,电子,6.108E+15
000537.SZ,广宇发展,房地产,6.118E+15
000538.SZ,云南白药,医药生物,6.115E+15
000539.SZ,粤电力A,公用事业,6.116E+15
000540.SZ,中天城投,房地产,6.118E+15
000541.SZ,佛山照明,电子,6.108E+15
000543.SZ,皖能电力,公用事业,6.116E+15
000544.SZ,中原环保,公用事业,6.116E+15
000545.SZ,金浦钛业,化工,6.103E+15
000546.SZ,光华控股,综合,6.123E+15
000547.SZ,闽福发A,通信,1.00001E+15
000548.SZ,湖南投资,交通运输,6.117E+15
000550.SZ,江铃汽车,汽车,1.00001E+15
000551.SZ,创元科技,综合,6.123E+15
000552.SZ,靖远煤电,采掘,6.102E+15
000553.SZ,沙隆达A,化工,6.103E+15
000554.SZ,泰山石油,化工,6.103E+15
000555.SZ,神州信息,计算机,1.00001E+15
000557.SZ,*ST广夏,食品饮料,6.112E+15
000558.SZ,莱茵置业,房地产,6.118E+15
000559.SZ,万向钱潮,汽车,1.00001E+15
000560.SZ,昆百大A,商业贸易,6.12E+15
000561.SZ,烽火电子,通信,1.00001E+15
000562.SZ,宏源证券,非银金融,1.00001E+15
000563.SZ,陕国投A,非银金融,1.00001E+15
000564.SZ,西安民生,商业贸易,6.12E+15
000565.SZ,渝三峡A,化工,6.103E+15
000566.SZ,海南海药,医药生物,6.115E+15
000567.SZ,海德股份,房地产,6.118E+15
000568.SZ,泸州老窖,食品饮料,6.112E+15
000570.SZ,苏常柴A,机械设备,6.107E+15
000571.SZ,新大洲A,采掘,6.102E+15
000572.SZ,海马汽车,汽车,1.00001E+15
000573.SZ,粤宏远A,房地产,6.118E+15
000576.SZ,广东甘化,轻工制造,6.114E+15
000581.SZ,威孚高科,汽车,1.00001E+15
000582.SZ,北部湾港,交通运输,6.117E+15
000584.SZ,友利控股,化工,6.103E+15
000585.SZ,东北电气,电气设备,6.10701E+15
000586.SZ,汇源通信,通信,1.00001E+15
000587.SZ,金叶珠宝,轻工制造,6.114E+15
000589.SZ,黔轮胎A,化工,6.103E+15
000590.SZ,紫光古汉,医药生物,6.115E+15
000591.SZ,桐君阁,医药生物,6.115E+15
000592.SZ,平潭发展,农林牧渔,6.101E+15
000593.SZ,大通燃气,综合,6.123E+15
000594.SZ,*ST国恒,交通运输,6.117E+15
000595.SZ,西北轴承,机械设备,6.107E+15
000596.SZ,古井贡酒,食品饮料,6.112E+15
000597.SZ,东北制药,医药生物,6.115E+15
000598.SZ,兴蓉投资,公用事业,6.116E+15
000599.SZ,青岛双星,化工,6.103E+15
000600.SZ,建投能源,公用事业,6.116E+15
000601.SZ,韶能股份,公用事业,6.116E+15
000603.SZ,盛达矿业,有色金属,6.105E+15
000605.SZ,渤海股份,医药生物,6.115E+15
000606.SZ,青海明胶,医药生物,6.115E+15
000607.SZ,华智控股,机械设备,6.107E+15
000608.SZ,阳光股份,房地产,6.118E+15
000609.SZ,绵世股份,房地产,6.118E+15
000610.SZ,西安旅游,休闲服务,6.121E+15
000611.SZ,内蒙发展,商业贸易,6.12E+15
000612.SZ,焦作万方,有色金属,6.105E+15
000613.SZ,大东海A,休闲服务,6.121E+15
000615.SZ,湖北金环,化工,6.103E+15
000616.SZ,亿城投资,房地产,6.118E+15
000617.SZ,石油济柴,机械设备,6.107E+15
000619.SZ,海螺型材,建筑材料,6.10601E+15
000620.SZ,新华联,房地产,6.118E+15
000622.SZ,恒立实业,汽车,1.00001E+15
000623.SZ,吉林敖东,医药生物,6.115E+15
000625.SZ,长安汽车,汽车,1.00001E+15
000626.SZ,如意集团,商业贸易,6.12E+15
000627.SZ,天茂集团,化工,6.103E+15
000628.SZ,高新发展,综合,6.123E+15
000629.SZ,攀钢钒钛,采掘,6.102E+15
000630.SZ,铜陵有色,有色金属,6.105E+15
000631.SZ,顺发恒业,房地产,6.118E+15
000632.SZ,三木集团,综合,6.123E+15
000633.SZ,合金投资,机械设备,6.107E+15
000635.SZ,英力特,化工,6.103E+15
000636.SZ,风华高科,电子,6.108E+15
000637.SZ,茂化实华,化工,6.103E+15
000638.SZ,万方发展,房地产,6.118E+15
000639.SZ,西王食品,农林牧渔,6.101E+15
000650.SZ,仁和药业,医药生物,6.115E+15
000651.SZ,格力电器,家用电器,6.111E+15
000652.SZ,泰达股份,综合,6.123E+15
000655.SZ,金岭矿业,采掘,6.102E+15
000656.SZ,金科股份,房地产,6.118E+15
000657.SZ,中钨高新,有色金属,6.105E+15
000659.SZ,*ST中富,轻工制造,6.114E+15
000661.SZ,长春高新,医药生物,6.115E+15
000662.SZ,索芙特,化工,6.103E+15
000663.SZ,永安林业,农林牧渔,6.101E+15
000665.SZ,湖北广电,传媒,6.12201E+15
000666.SZ,经纬纺机,非银金融,1.00001E+15
000667.SZ,美好集团,房地产,6.118E+15
000668.SZ,荣丰控股,房地产,6.118E+15
000669.SZ,金鸿能源,公用事业,6.116E+15
000670.SZ,盈方微,房地产,6.118E+15
000671.SZ,阳光城,房地产,6.118E+15
000672.SZ,上峰水泥,建筑材料,6.10601E+15
000673.SZ,当代东方,传媒,6.12201E+15
000676.SZ,思达高科,机械设备,6.107E+15
000677.SZ,恒天海龙,化工,6.103E+15
000678.SZ,襄阳轴承,汽车,1.00001E+15
000679.SZ,大连友谊,商业贸易,6.12E+15
000680.SZ,山推股份,机械设备,6.107E+15
000681.SZ,视觉中国,传媒,6.12201E+15
000682.SZ,东方电子,电气设备,6.10701E+15
000683.SZ,远兴能源,采掘,6.102E+15
000685.SZ,中山公用,公用事业,6.116E+15
000686.SZ,东北证券,非银金融,1.00001E+15
000687.SZ,恒天天鹅,化工,6.103E+15
000688.SZ,建新矿业,有色金属,6.105E+15
000690.SZ,宝新能源,公用事业,6.116E+15
000691.SZ,亚太实业,房地产,6.118E+15
000692.SZ,惠天热电,公用事业,6.116E+15
000693.SZ,华泽钴镍,有色金属,6.105E+15
000695.SZ,滨海能源,公用事业,6.116E+15
000697.SZ,炼石有色,有色金属,6.105E+15
000698.SZ,沈阳化工,化工,6.103E+15
000700.SZ,模塑科技,汽车,1.00001E+15
000701.SZ,厦门信达,综合,6.123E+15
000702.SZ,正虹科技,农林牧渔,6.101E+15
000703.SZ,恒逸石化,化工,6.103E+15
000705.SZ,浙江震元,医药生物,6.115E+15
000707.SZ,双环科技,化工,6.103E+15
000708.SZ,大冶特钢,钢铁,6.104E+15
000709.SZ,河北钢铁,钢铁,6.104E+15
000710.SZ,天兴仪表,汽车,1.00001E+15
000711.SZ,京蓝科技,综合,6.123E+15
000712.SZ,锦龙股份,综合,6.123E+15
000713.SZ,丰乐种业,农林牧渔,6.101E+15
000715.SZ,中兴商业,商业贸易,6.12E+15
000716.SZ,黑芝麻,食品饮料,6.112E+15
000717.SZ,韶钢松山,钢铁,6.104E+15
000718.SZ,苏宁环球,房地产,6.118E+15
