"datetime","trade_code"
2015-04-08,"000005.SZ"
2015-04-08,"000008.SZ"
2015-04-08,"000010.SZ"
2015-04-08,"000012.SZ"
2015-04-08,"000024.SZ"
2015-04-08,"000033.SZ"
2015-04-08,"000034.SZ"
2015-04-08,"000038.SZ"
2015-04-08,"000062.SZ"
2015-04-08,"000068.SZ"
2015-04-08,"000070.SZ"
2015-04-08,"000403.SZ"
2015-04-08,"000410.SZ"
2015-04-08,"000411.SZ"
2015-04-08,"000415.SZ"
2015-04-08,"000429.SZ"
2015-04-08,"000502.SZ"
2015-04-08,"000503.SZ"
2015-04-08,"000506.SZ"
2015-04-08,"000510.SZ"
2015-04-08,"000518.SZ"
2015-04-08,"000526.SZ"
2015-04-08,"000540.SZ"
2015-04-08,"000555.SZ"
2015-04-08,"000564.SZ"
2015-04-08,"000584.SZ"
2015-04-08,"000587.SZ"
2015-04-08,"000591.SZ"
2015-04-08,"000593.SZ"
2015-04-08,"000595.SZ"
2015-04-08,"000605.SZ"
2015-04-08,"000607.SZ"
2015-04-08,"000611.SZ"
2015-04-08,"000616.SZ"
2015-04-08,"000625.SZ"
2015-04-08,"000626.SZ"
2015-04-08,"000630.SZ"
2015-04-08,"000633.SZ"
2015-04-08,"000636.SZ"
2015-04-08,"000663.SZ"
2015-04-08,"000671.SZ"
2015-04-08,"000676.SZ"
2015-04-08,"000677.SZ"
2015-04-08,"000687.SZ"
2015-04-08,"000692.SZ"
2015-04-08,"000715.SZ"
2015-04-08,"000719.SZ"
2015-04-08,"000739.SZ"
2015-04-08,"000755.SZ"
2015-04-08,"000766.SZ"
2015-04-08,"000796.SZ"
2015-04-08,"000820.SZ"
2015-04-08,"000826.SZ"
2015-04-08,"000860.SZ"
2015-04-08,"000863.SZ"
2015-04-08,"000883.SZ"
2015-04-08,"000887.SZ"
2015-04-08,"000889.SZ"
2015-04-08,"000912.SZ"
2015-04-08,"000926.SZ"
2015-04-08,"000928.SZ"
2015-04-08,"000938.SZ"
2015-04-08,"000968.SZ"
2015-04-08,"000969.SZ"
2015-04-08,"000978.SZ"
2015-04-08,"000982.SZ"
2015-04-08,"000989.SZ"
2015-04-08,"000990.SZ"
2015-04-08,"000995.SZ"
2015-04-08,"000996.SZ"
2015-04-08,"002010.SZ"
2015-04-08,"002011.SZ"
2015-04-08,"002015.SZ"
2015-04-08,"002021.SZ"
2015-04-08,"002036.SZ"
2015-04-08,"002037.SZ"
2015-04-08,"002047.SZ"
2015-04-08,"002049.SZ"
2015-04-08,"002057.SZ"
2015-04-08,"002076.SZ"
2015-04-08,"002089.SZ"
2015-04-08,"002104.SZ"
2015-04-08,"002106.SZ"
