"datetime","trade_code"
2015-04-01,"000005.SZ"
2015-04-01,"000008.SZ"
2015-04-01,"000010.SZ"
2015-04-01,"000012.SZ"
2015-04-01,"000033.SZ"
2015-04-01,"000034.SZ"
2015-04-01,"000038.SZ"
2015-04-01,"000062.SZ"
2015-04-01,"000068.SZ"
2015-04-01,"000070.SZ"
2015-04-01,"000155.SZ"
2015-04-01,"000403.SZ"
2015-04-01,"000410.SZ"
2015-04-01,"000411.SZ"
2015-04-01,"000415.SZ"
2015-04-01,"000502.SZ"
2015-04-01,"000503.SZ"
2015-04-01,"000506.SZ"
2015-04-01,"000510.SZ"
2015-04-01,"000518.SZ"
2015-04-01,"000526.SZ"
2015-04-01,"000536.SZ"
2015-04-01,"000541.SZ"
2015-04-01,"000564.SZ"
2015-04-01,"000584.SZ"
2015-04-01,"000587.SZ"
2015-04-01,"000591.SZ"
2015-04-01,"000593.SZ"
2015-04-01,"000605.SZ"
2015-04-01,"000607.SZ"
2015-04-01,"000611.SZ"
2015-04-01,"000616.SZ"
2015-04-01,"000625.SZ"
2015-04-01,"000626.SZ"
2015-04-01,"000630.SZ"
2015-04-01,"000633.SZ"
2015-04-01,"000636.SZ"
2015-04-01,"000663.SZ"
2015-04-01,"000670.SZ"
2015-04-01,"000671.SZ"
2015-04-01,"000676.SZ"
2015-04-01,"000677.SZ"
2015-04-01,"000687.SZ"
2015-04-01,"000692.SZ"
2015-04-01,"000693.SZ"
2015-04-01,"000715.SZ"
2015-04-01,"000719.SZ"
2015-04-01,"000721.SZ"
2015-04-01,"000728.SZ"
2015-04-01,"000755.SZ"
2015-04-01,"000766.SZ"
2015-04-01,"000796.SZ"
2015-04-01,"000820.SZ"
2015-04-01,"000826.SZ"
2015-04-01,"000860.SZ"
2015-04-01,"000863.SZ"
2015-04-01,"000883.SZ"
2015-04-01,"000887.SZ"
2015-04-01,"000889.SZ"
2015-04-01,"000899.SZ"
2015-04-01,"000912.SZ"
2015-04-01,"000927.SZ"
2015-04-01,"000938.SZ"
2015-04-01,"000939.SZ"
2015-04-01,"000968.SZ"
2015-04-01,"000969.SZ"
2015-04-01,"000971.SZ"
2015-04-01,"000978.SZ"
2015-04-01,"000982.SZ"
2015-04-01,"000989.SZ"
2015-04-01,"000990.SZ"
2015-04-01,"000995.SZ"
2015-04-01,"000996.SZ"
2015-04-01,"002010.SZ"
2015-04-01,"002011.SZ"
2015-04-01,"002015.SZ"
2015-04-01,"002021.SZ"
2015-04-01,"002036.SZ"
2015-04-01,"002037.SZ"
2015-04-01,"002047.SZ"
2015-04-01,"002049.SZ"
2015-04-01,"002057.SZ"
2015-04-01,"002074.SZ"
2015-04-01,"002089.SZ"
2015-04-01,"002104.SZ"
2015-04-01,"002114.SZ"
2015-04-01,"002119.SZ"
2015-04-01,"002125.SZ"
2015-04-01,"002127.SZ"
2015-04-01,"002131.SZ"
2015-04-01,"002137.SZ"
2015-04-01,"002151.SZ"
2015-04-01,"002159.SZ"
2015-04-01,"002160.SZ"
2015-04-01,"002161.SZ"
2015-04-01,"002169.SZ"
2015-04-01,"002171.SZ"
2015-04-01,"002173.SZ"
2015-04-01,"002174.SZ"
2015-04-01,"002176.SZ"
2015-04-01,"002180.SZ"
2015-04-01,"002188.SZ"
2015-04-01,"002196.SZ"
2015-04-01,"002211.SZ"
2015-04-01,"002213.SZ"
2015-04-01,"002225.SZ"
2015-04-01,"002231.SZ"
2015-04-01,"002249.SZ"
2015-04-01,"002255.SZ"
2015-04-01,"002261.SZ"
2015-04-01,"002264.SZ"
2015-04-01,"002277.SZ"
2015-04-01,"002279.SZ"
2015-04-01,"002280.SZ"
2015-04-01,"002290.SZ"
2015-04-01,"002298.SZ"
2015-04-01,"002301.SZ"
2015-04-01,"002316.SZ"
2015-04-01,"002317.SZ"
2015-04-01,"002319.SZ"
2015-04-01,"002349.SZ"
2015-04-01,"002350.SZ"
2015-04-01,"002357.SZ"
2015-04-01,"002358.SZ"
2015-04-01,"002359.SZ"
2015-04-01,"002361.SZ"
2015-04-01,"002364.SZ"
2015-04-01,"002376.SZ"
2015-04-01,"002390.SZ"
2015-04-01,"002411.SZ"
2015-04-01,"002417.SZ"
2015-04-01,"002421.SZ"
2015-04-01,"002442.SZ"
2015-04-01,"002446.SZ"
2015-04-01,"002458.SZ"
2015-04-01,"002464.SZ"
2015-04-01,"002473.SZ"
2015-04-01,"002476.SZ"
2015-04-01,"002491.SZ"
2015-04-01,"002498.SZ"
2015-04-01,"002502.SZ"
2015-04-01,"002509.SZ"
2015-04-01,"002512.SZ"
2015-04-01,"002513.SZ"
2015-04-01,"002517.SZ"
2015-04-01,"002520.SZ"
2015-04-01,"002529.SZ"
2015-04-01,"002548.SZ"
2015-04-01,"002553.SZ"
2015-04-01,"002555.SZ"
2015-04-01,"002558.SZ"
2015-04-01,"002565.SZ"
2015-04-01,"002569.SZ"
2015-04-01,"002596.SZ"
2015-04-01,"002598.SZ"
2015-04-01,"002602.SZ"
2015-04-01,"002607.SZ"
2015-04-01,"002611.SZ"
2015-04-01,"002612.SZ"
2015-04-01,"002617.SZ"
2015-04-01,"002624.SZ"
2015-04-01,"002630.SZ"
2015-04-01,"002637.SZ"
2015-04-01,"002645.SZ"
2015-04-01,"002656.SZ"
2015-04-01,"002659.SZ"
2015-04-01,"002660.SZ"
2015-04-01,"002672.SZ"
2015-04-01,"002675.SZ"
2015-04-01,"002680.SZ"
2015-04-01,"002691.SZ"
2015-04-01,"002711.SZ"
2015-04-01,"002712.SZ"
2015-04-01,"002717.SZ"
2015-04-01,"002721.SZ"
2015-04-01,"002722.SZ"
2015-04-01,"002728.SZ"
2015-04-01,"200012.SZ"
2015-04-01,"200053.SZ"
2015-04-01,"200160.SZ"
2015-04-01,"200541.SZ"
2015-04-01,"200625.SZ"
2015-04-01,"300001.SZ"
2015-04-01,"300008.SZ"
2015-04-01,"300022.SZ"
2015-04-01,"300025.SZ"
2015-04-01,"300030.SZ"
2015-04-01,"300034.SZ"
2015-04-01,"300036.SZ"
2015-04-01,"300038.SZ"
2015-04-01,"300040.SZ"
2015-04-01,"300053.SZ"
2015-04-01,"300054.SZ"
2015-04-01,"300059.SZ"
2015-04-01,"300063.SZ"
2015-04-01,"300065.SZ"
2015-04-01,"300069.SZ"
2015-04-01,"300073.SZ"
2015-04-01,"300078.SZ"
2015-04-01,"300081.SZ"
2015-04-01,"300088.SZ"
2015-04-01,"300090.SZ"
2015-04-01,"300095.SZ"
2015-04-01,"300098.SZ"
2015-04-01,"300101.SZ"
2015-04-01,"300110.SZ"
2015-04-01,"300116.SZ"
2015-04-01,"300118.SZ"
2015-04-01,"300126.SZ"
2015-04-01,"300130.SZ"
2015-04-01,"300141.SZ"
2015-04-01,"300174.SZ"
2015-04-01,"300177.SZ"
2015-04-01,"300181.SZ"
2015-04-01,"300183.SZ"
2015-04-01,"300186.SZ"
2015-04-01,"300192.SZ"
2015-04-01,"300201.SZ"
2015-04-01,"300213.SZ"
2015-04-01,"300220.SZ"
2015-04-01,"300222.SZ"
2015-04-01,"300232.SZ"
2015-04-01,"300233.SZ"
2015-04-01,"300241.SZ"
2015-04-01,"300242.SZ"
2015-04-01,"300243.SZ"
2015-04-01,"300269.SZ"
2015-04-01,"300271.SZ"
2015-04-01,"300274.SZ"
2015-04-01,"300278.SZ"
2015-04-01,"300298.SZ"
2015-04-01,"300308.SZ"
2015-04-01,"300316.SZ"
2015-04-01,"300322.SZ"
2015-04-01,"300339.SZ"
2015-04-01,"300348.SZ"
2015-04-01,"300349.SZ"
2015-04-01,"300362.SZ"
2015-04-01,"300366.SZ"
2015-04-01,"300367.SZ"
2015-04-01,"300368.SZ"
2015-04-01,"300379.SZ"
2015-04-01,"300390.SZ"
2015-04-01,"300396.SZ"
2015-04-01,"600053.SH"
2015-04-01,"600062.SH"
2015-04-01,"600076.SH"
2015-04-01,"600083.SH"
2015-04-01,"600086.SH"
2015-04-01,"600090.SH"
2015-04-01,"600129.SH"
2015-04-01,"600136.SH"
2015-04-01,"600155.SH"
2015-04-01,"600157.SH"
2015-04-01,"600172.SH"
2015-04-01,"600179.SH"
2015-04-01,"600191.SH"
