"datetime","trade_code"
2015-04-07,"300030.SZ"
2015-04-07,"300034.SZ"
2015-04-07,"300036.SZ"
2015-04-07,"300038.SZ"
2015-04-07,"300040.SZ"
2015-04-07,"300053.SZ"
2015-04-07,"300059.SZ"
2015-04-07,"300063.SZ"
2015-04-07,"300065.SZ"
2015-04-07,"300073.SZ"
2015-04-07,"300078.SZ"
2015-04-07,"300081.SZ"
2015-04-07,"300083.SZ"
2015-04-07,"300085.SZ"
2015-04-07,"300090.SZ"
2015-04-07,"300095.SZ"
2015-04-07,"300098.SZ"
2015-04-07,"300101.SZ"
2015-04-07,"300110.SZ"
2015-04-07,"300116.SZ"
2015-04-07,"300121.SZ"
2015-04-07,"300126.SZ"
2015-04-07,"300130.SZ"
2015-04-07,"300141.SZ"
2015-04-07,"300143.SZ"
2015-04-07,"300174.SZ"
2015-04-07,"300177.SZ"
2015-04-07,"300181.SZ"
2015-04-07,"300183.SZ"
2015-04-07,"300186.SZ"
2015-04-07,"300192.SZ"
2015-04-07,"300201.SZ"
2015-04-07,"300213.SZ"
2015-04-07,"300222.SZ"
2015-04-07,"300232.SZ"
2015-04-07,"300233.SZ"
2015-04-07,"300241.SZ"
2015-04-07,"300242.SZ"
2015-04-07,"300243.SZ"
2015-04-07,"300269.SZ"
2015-04-07,"300271.SZ"
2015-04-07,"300274.SZ"
2015-04-07,"300278.SZ"
2015-04-07,"300288.SZ"
2015-04-07,"300298.SZ"
2015-04-07,"300304.SZ"
2015-04-07,"300308.SZ"
2015-04-07,"300316.SZ"
2015-04-07,"300322.SZ"
2015-04-07,"300339.SZ"
2015-04-07,"300348.SZ"
2015-04-07,"300349.SZ"
2015-04-07,"300353.SZ"
2015-04-07,"300362.SZ"
2015-04-07,"300366.SZ"
2015-04-07,"300367.SZ"
2015-04-07,"300368.SZ"
2015-04-07,"300379.SZ"
2015-04-07,"300390.SZ"
2015-04-07,"300396.SZ"
2015-04-07,"300415.SZ"
2015-04-07,"600036.SH"
2015-04-07,"600053.SH"
2015-04-07,"600062.SH"
2015-04-07,"600076.SH"
2015-04-07,"600083.SH"
2015-04-07,"600086.SH"
2015-04-07,"600090.SH"
2015-04-07,"600107.SH"
2015-04-07,"600129.SH"
2015-04-07,"600136.SH"
2015-04-07,"600155.SH"
2015-04-07,"600157.SH"
2015-04-07,"600172.SH"
2015-04-07,"600179.SH"
2015-04-07,"600191.SH"
2015-04-07,"600196.SH"
2015-04-07,"600206.SH"
2015-04-07,"600209.SH"
2015-04-07,"600221.SH"
2015-04-07,"600226.SH"
2015-04-07,"600232.SH"
2015-04-07,"600238.SH"
2015-04-07,"600246.SH"
2015-04-07,"600250.SH"
2015-04-07,"600258.SH"
2015-04-07,"600271.SH"
2015-04-07,"600285.SH"
2015-04-07,"600293.SH"
2015-04-07,"600352.SH"
2015-04-07,"600363.SH"
2015-04-07,"600438.SH"
2015-04-07,"600461.SH"
2015-04-07,"600475.SH"
2015-04-07,"600483.SH"
2015-04-07,"600503.SH"
2015-04-07,"600516.SH"
2015-04-07,"600522.SH"
2015-04-07,"600558.SH"
2015-04-07,"600575.SH"
2015-04-07,"600576.SH"
2015-04-07,"600584.SH"
2015-04-07,"600597.SH"
2015-04-07,"600598.SH"
2015-04-07,"600599.SH"
2015-04-07,"600612.SH"
2015-04-07,"600614.SH"
2015-04-07,"600649.SH"
2015-04-07,"600667.SH"
2015-04-07,"600677.SH"
2015-04-07,"600679.SH"
2015-04-07,"600681.SH"
2015-04-07,"600689.SH"
2015-04-07,"600701.SH"
2015-04-07,"600719.SH"
2015-04-07,"600722.SH"
2015-04-07,"600725.SH"
2015-04-07,"600741.SH"
2015-04-07,"600745.SH"
2015-04-07,"600747.SH"
2015-04-07,"600748.SH"
2015-04-07,"600756.SH"
2015-04-07,"600777.SH"
2015-04-07,"600797.SH"
2015-04-07,"600806.SH"
2015-04-07,"600817.SH"
2015-04-07,"600827.SH"
2015-04-07,"600858.SH"
2015-04-07,"600866.SH"
2015-04-07,"600870.SH"
2015-04-07,"600894.SH"
2015-04-07,"600898.SH"
2015-04-07,"600962.SH"
2015-04-07,"601588.SH"
2015-04-07,"601608.SH"
2015-04-07,"601888.SH"
2015-04-07,"603003.SH"
2015-04-07,"603010.SH"
2015-04-07,"900905.SH"
2015-04-07,"900907.SH"
2015-04-07,"900916.SH"
2015-04-07,"900922.SH"
2015-04-07,"900923.SH"
2015-04-07,"900935.SH"
2015-04-07,"900945.SH"
2015-04-07,"900950.SH"
