"datetime","trade_code"
2015-03-31,"000005.SZ"
2015-03-31,"000008.SZ"
2015-03-31,"000010.SZ"
2015-03-31,"000012.SZ"
2015-03-31,"000033.SZ"
2015-03-31,"000034.SZ"
2015-03-31,"000038.SZ"
2015-03-31,"000062.SZ"
2015-03-31,"000068.SZ"
2015-03-31,"000070.SZ"
2015-03-31,"000153.SZ"
2015-03-31,"000155.SZ"
2015-03-31,"000403.SZ"
2015-03-31,"000410.SZ"
2015-03-31,"000411.SZ"
2015-03-31,"000415.SZ"
2015-03-31,"000502.SZ"
2015-03-31,"000503.SZ"
2015-03-31,"000506.SZ"
2015-03-31,"000510.SZ"
2015-03-31,"000518.SZ"
2015-03-31,"000526.SZ"
2015-03-31,"000536.SZ"
2015-03-31,"000541.SZ"
2015-03-31,"000564.SZ"
2015-03-31,"000584.SZ"
2015-03-31,"000587.SZ"
2015-03-31,"000591.SZ"
2015-03-31,"000593.SZ"
2015-03-31,"000605.SZ"
2015-03-31,"000607.SZ"
2015-03-31,"000611.SZ"
2015-03-31,"000616.SZ"
2015-03-31,"000625.SZ"
2015-03-31,"000626.SZ"
2015-03-31,"000630.SZ"
2015-03-31,"000633.SZ"
2015-03-31,"000636.SZ"
2015-03-31,"000663.SZ"
2015-03-31,"000670.SZ"
2015-03-31,"000671.SZ"
2015-03-31,"000676.SZ"
2015-03-31,"000677.SZ"
2015-03-31,"000687.SZ"
2015-03-31,"000692.SZ"
2015-03-31,"000693.SZ"
2015-03-31,"000715.SZ"
2015-03-31,"000719.SZ"
2015-03-31,"000721.SZ"
2015-03-31,"000728.SZ"
2015-03-31,"000755.SZ"
2015-03-31,"000766.SZ"
2015-03-31,"000796.SZ"
2015-03-31,"000820.SZ"
2015-03-31,"000826.SZ"
2015-03-31,"000828.SZ"
2015-03-31,"000860.SZ"
2015-03-31,"000863.SZ"
2015-03-31,"000883.SZ"
2015-03-31,"000887.SZ"
2015-03-31,"000889.SZ"
2015-03-31,"000899.SZ"
2015-03-31,"000912.SZ"
2015-03-31,"000938.SZ"
2015-03-31,"000939.SZ"
2015-03-31,"000968.SZ"
2015-03-31,"000969.SZ"
2015-03-31,"000971.SZ"
2015-03-31,"000978.SZ"
2015-03-31,"000982.SZ"
2015-03-31,"000989.SZ"
2015-03-31,"000990.SZ"
2015-03-31,"000995.SZ"
2015-03-31,"000996.SZ"
2015-03-31,"002010.SZ"
2015-03-31,"002011.SZ"
2015-03-31,"002015.SZ"
2015-03-31,"002021.SZ"
2015-03-31,"002036.SZ"
2015-03-31,"002037.SZ"
2015-03-31,"002047.SZ"
2015-03-31,"002049.SZ"
2015-03-31,"002057.SZ"
2015-03-31,"002074.SZ"
2015-03-31,"002086.SZ"
2015-03-31,"002089.SZ"
2015-03-31,"002104.SZ"
2015-03-31,"002113.SZ"
2015-03-31,"002114.SZ"
2015-03-31,"002119.SZ"
2015-03-31,"002125.SZ"
2015-03-31,"002127.SZ"
2015-03-31,"002131.SZ"
2015-03-31,"002137.SZ"
2015-03-31,"002151.SZ"
2015-03-31,"002159.SZ"
2015-03-31,"002160.SZ"
2015-03-31,"002161.SZ"
2015-03-31,"002169.SZ"
2015-03-31,"002171.SZ"
2015-03-31,"002173.SZ"
2015-03-31,"002174.SZ"
2015-03-31,"002176.SZ"
2015-03-31,"002180.SZ"
2015-03-31,"002188.SZ"
2015-03-31,"002196.SZ"
2015-03-31,"002211.SZ"
2015-03-31,"002213.SZ"
2015-03-31,"002225.SZ"
2015-03-31,"002231.SZ"
2015-03-31,"002249.SZ"
2015-03-31,"002255.SZ"
2015-03-31,"002261.SZ"
2015-03-31,"002264.SZ"
2015-03-31,"002277.SZ"
2015-03-31,"002279.SZ"
2015-03-31,"002280.SZ"
2015-03-31,"002290.SZ"
2015-03-31,"002298.SZ"
2015-03-31,"002301.SZ"
2015-03-31,"002316.SZ"
2015-03-31,"002317.SZ"
2015-03-31,"002319.SZ"
2015-03-31,"002349.SZ"
2015-03-31,"002350.SZ"
2015-03-31,"002357.SZ"
2015-03-31,"002358.SZ"
2015-03-31,"002359.SZ"
2015-03-31,"002361.SZ"
2015-03-31,"002364.SZ"
2015-03-31,"002376.SZ"
2015-03-31,"002390.SZ"
2015-03-31,"002411.SZ"
2015-03-31,"002417.SZ"
2015-03-31,"002421.SZ"
2015-03-31,"002442.SZ"
2015-03-31,"002445.SZ"
2015-03-31,"002446.SZ"
2015-03-31,"002458.SZ"
