"datetime","trade_code"
2015-04-03,"000005.SZ"
2015-04-03,"000008.SZ"
2015-04-03,"000010.SZ"
2015-04-03,"000012.SZ"
2015-04-03,"000024.SZ"
2015-04-03,"000033.SZ"
2015-04-03,"000034.SZ"
2015-04-03,"000038.SZ"
2015-04-03,"000062.SZ"
2015-04-03,"000068.SZ"
2015-04-03,"000070.SZ"
2015-04-03,"000403.SZ"
2015-04-03,"000410.SZ"
2015-04-03,"000411.SZ"
2015-04-03,"000415.SZ"
2015-04-03,"000502.SZ"
2015-04-03,"000503.SZ"
2015-04-03,"000506.SZ"
2015-04-03,"000510.SZ"
2015-04-03,"000518.SZ"
2015-04-03,"000526.SZ"
2015-04-03,"000564.SZ"
2015-04-03,"000584.SZ"
2015-04-03,"000587.SZ"
2015-04-03,"000591.SZ"
2015-04-03,"000593.SZ"
2015-04-03,"000605.SZ"
2015-04-03,"000607.SZ"
2015-04-03,"000611.SZ"
2015-04-03,"000616.SZ"
2015-04-03,"000625.SZ"
2015-04-03,"000626.SZ"
2015-04-03,"000630.SZ"
2015-04-03,"000633.SZ"
2015-04-03,"000636.SZ"
2015-04-03,"000663.SZ"
2015-04-03,"000671.SZ"
2015-04-03,"000676.SZ"
2015-04-03,"000677.SZ"
2015-04-03,"000687.SZ"
2015-04-03,"000692.SZ"
2015-04-03,"000715.SZ"
2015-04-03,"000719.SZ"
2015-04-03,"000721.SZ"
2015-04-03,"000755.SZ"
2015-04-03,"000766.SZ"
2015-04-03,"000796.SZ"
2015-04-03,"000820.SZ"
2015-04-03,"000826.SZ"
2015-04-03,"000860.SZ"
2015-04-03,"000863.SZ"
2015-04-03,"000883.SZ"
2015-04-03,"000887.SZ"
2015-04-03,"000889.SZ"
2015-04-03,"000912.SZ"
2015-04-03,"000938.SZ"
2015-04-03,"000939.SZ"
2015-04-03,"000968.SZ"
2015-04-03,"000969.SZ"
2015-04-03,"000971.SZ"
2015-04-03,"000978.SZ"
2015-04-03,"000982.SZ"
2015-04-03,"000989.SZ"
2015-04-03,"000990.SZ"
2015-04-03,"000995.SZ"
2015-04-03,"000996.SZ"
2015-04-03,"002010.SZ"
2015-04-03,"002011.SZ"
2015-04-03,"002015.SZ"
2015-04-03,"002021.SZ"
2015-04-03,"002036.SZ"
2015-04-03,"002037.SZ"
2015-04-03,"002047.SZ"
2015-04-03,"002049.SZ"
2015-04-03,"002057.SZ"
2015-04-03,"002089.SZ"
2015-04-03,"002104.SZ"
2015-04-03,"002110.SZ"
2015-04-03,"002114.SZ"
2015-04-03,"002119.SZ"
2015-04-03,"002125.SZ"
2015-04-03,"002127.SZ"
2015-04-03,"002131.SZ"
2015-04-03,"002137.SZ"
2015-04-03,"002159.SZ"
2015-04-03,"002160.SZ"
2015-04-03,"002161.SZ"
2015-04-03,"002169.SZ"
2015-04-03,"002171.SZ"
2015-04-03,"002173.SZ"
2015-04-03,"002174.SZ"
2015-04-03,"002176.SZ"
2015-04-03,"002180.SZ"
2015-04-03,"002188.SZ"
2015-04-03,"002196.SZ"
2015-04-03,"002211.SZ"
2015-04-03,"002213.SZ"
2015-04-03,"002225.SZ"
2015-04-03,"002231.SZ"
2015-04-03,"002239.SZ"
2015-04-03,"002249.SZ"
2015-04-03,"002255.SZ"
2015-04-03,"002261.SZ"
2015-04-03,"002264.SZ"
2015-04-03,"002277.SZ"
2015-04-03,"002279.SZ"
2015-04-03,"002280.SZ"
2015-04-03,"002290.SZ"
2015-04-03,"002298.SZ"
2015-04-03,"002301.SZ"
2015-04-03,"002316.SZ"
2015-04-03,"002319.SZ"
2015-04-03,"002349.SZ"
2015-04-03,"002350.SZ"
2015-04-03,"002357.SZ"
2015-04-03,"002358.SZ"
2015-04-03,"002359.SZ"
2015-04-03,"002361.SZ"
2015-04-03,"002364.SZ"
2015-04-03,"002376.SZ"
2015-04-03,"002390.SZ"
2015-04-03,"002411.SZ"
2015-04-03,"002417.SZ"
2015-04-03,"002421.SZ"
