"","datetime","cap","return","cash","stockcap","IFcap","lowestcap","return2"
"608","2007-07-11",42266807.70451,0.00242259038704629,8197119.70450999,34069688,-30697979.4,41231428.70451,NA
"609","2007-07-12",42243690.00451,-0.000546946913086321,7978039.00450999,34265651,-30917060.1,41554583.00451,NA
"610","2007-07-13",42168529.70451,-0.0017792077347405,7952094.70450999,34216435,-30943004.4,41427860.70451,NA
"611","2007-07-16",42314125.50451,0.00345271227192989,8941574.50450999,33372551,-29953524.6,41960433.50451,NA
"612","2007-07-17",42333185.00451,0.000450428781707091,8198926.00450999,34134259,-30696173.1,40907462.00451,NA
"613","2007-07-18",42449759.70451,0.00275374271951367,8053749.70450999,34396010,-30841349.4,41476864.70451,NA
"614","2007-07-19",42453043.40451,7.73549726278411e-05,8058423.40450999,34394620,-30836675.7,41798879.40451,NA
"615","2007-07-20",42393385.70451,-0.00140526320884837,6722838.70450999,35670547,-32172260.4,40930294.70451,NA
"616","2007-07-23",42484924.80451,0.002159277879763,5225642.80450999,37259282,-33669456.3,40872293.80451,NA
"617","2007-07-24",42348183.90451,-0.00321857460332586,5188147.90450999,37160036,-33706951.2,41836156.90451,NA
"618","2007-07-25",42288698.80451,-0.00140466708405074,4425848.80450999,37862850,-34469250.3,41036573.80451,NA
"619","2007-07-26",42377154.60451,0.00209171250240892,4039300.60450999,38337854,-34855798.5,41385483.60451,NA
"620","2007-07-27",42782835.80451,0.00957311088453339,4007240.80450999,38775595,-34887858.3,41531740.80451,NA
"621","2007-07-30",42912941.40451,0.00304107003552789,3171693.40451,39741248,-35723405.7,41680399.40451,NA
"622","2007-07-31",43029757.70451,0.0027221694942523,2764530.70450999,40265227,-36130568.4,41753633.70451,NA
"623","2007-08-01",42778158.40451,-0.00584710008659028,4142235.40450999,38635923,-34752863.7,42247637.40451,0.0134637273947058
"624","2007-08-02",42399514.36235,-0.0088513404102053,7523483.36234999,34876031,-30609724.8,41356598.36235,NA
"625","2007-08-03",42081123.06235,-0.00750931478316008,6404393.06234999,35676730,-31728815.1,41008160.06235,NA
"626","2007-08-06",42238863.56235,0.00374848598423294,5675718.56234998,36563145,-32457489.6,41119076.56235,NA
"627","2007-08-07",42257947.86235,0.000451818500557755,5533833.86234999,36724114,-32599374.3,41174720.86235,NA
"628","2007-08-08",42198422.86235,-0.00140861075871213,5923407.86234999,36275015,-32209800.3,41130188.86235,NA
"629","2007-08-09",41849269.76235,-0.00827407936877,5169934.76234998,36679335,-32963273.4,40951019.76235,NA
"630","2007-08-10",41470170.46235,-0.00905868375130059,5519095.46234999,35951075,-32614112.7,40469812.46235,NA
"631","2007-08-13",41421225.36235,-0.00118024834367247,5556983.36234999,35864242,-32576224.8,40472151.36235,NA
"632","2007-08-14",41648281.96235,0.00548164855128563,5043788.96234999,36604493,-33089419.2,40650807.96235,NA
"633","2007-08-15",41902602.16235,0.00610637913539636,5021833.16234999,36880769,-33111375,40734930.16235,NA
"634","2007-08-16",42037372.36235,0.00321627280992809,5551808.36234999,36485564,-32581399.8,41117085.36235,NA
"635","2007-08-17",42348969.46235,0.00741238289858193,6209785.46234999,36139184,-31923422.7,41785055.46235,NA
"636","2007-08-20",41972038.86235,-0.00890058494422419,4423761.86234999,37548277,-33709446.3,40936025.86235,NA
"637","2007-08-21",41990282.26235,0.00043465603517201,3821502.26234999,38168780,-34311705.9,40856737.26235,NA
"638","2007-08-22",41846761.96235,-0.00341794082505342,3276560.96234998,38570201,-34856647.2,40626637.96235,NA
"639","2007-08-23",41666000.16235,-0.00431961259422264,2695291.16234998,38970709,-35437917,40680356.16235,NA
"640","2007-08-24",41164053.26235,-0.012046918303753,2131899.26234999,39032154,-36001308.9,40452227.26235,NA
"641","2007-08-27",40981019.86235,-0.00444643774104259,1955493.86234999,39025526,-36177714.3,40129543.86235,NA
"642","2007-08-28",40522475.16235,-0.0111891968901749,1895995.16234999,38626480,-36237213,39618818.16235,NA
"643","2007-08-29",40643157.36235,0.00297815470344531,2447636.36234998,38195521,-35685571.8,39756270.36235,NA
"644","2007-08-30",41219980.96235,0.0141923914733639,1968734.96234998,39251246,-36164473.2,39874463.96235,NA
"645","2007-08-31",41069675.46235,-0.00364642332409826,1585198.46234998,39484477,-36548009.7,40268511.46235,NA
"646","2007-09-03",40848790.06235,-0.00537830887420798,740942.062349985,40107848,-37392266.1,39963819.06235,-0.0365741052302481
"647","2007-09-04",40580695.34635,-0.00656310053714659,8309227.34634999,32271468,-28945798.2,40002223.34635,NA
"648","2007-09-05",41170062.14635,0.0145233292571711,8293470.14634999,32876592,-28961555.4,39909444.14635,NA
"649","2007-09-06",41133402.74635,-0.000890438296393015,8030025.74634999,33103377,-29224999.8,40421921.74635,NA
"650","2007-09-07",41103962.54635,-0.000715724886208524,8663132.54634999,32440830,-28591893,40487986.54635,NA
"651","2007-09-10",41159394.74635,0.0013485853082289,8218026.74634999,32941368,-29036998.8,39630989.74635,NA
"652","2007-09-11",40768141.74635,-0.00950580061760253,9584928.74634999,31183213,-27670096.8,40352561.74635,NA
"653","2007-09-12",40838130.14635,0.00171674246119546,9159603.14634999,31678527,-28095422.4,39452169.14635,NA
"654","2007-09-13",41053267.54635,0.00526805216666437,8365187.54634998,32688080,-28889838,39768581.54635,NA
"655","2007-09-14",41166627.34635,0.00276128568504341,8109724.34634999,33056903,-29145301.2,40079582.34635,NA
"656","2007-09-17",41094953.34635,-0.00174107048889338,7560922.34634998,33534031,-29694103.2,40092444.34635,NA
"657","2007-09-18",40970067.94635,-0.00303894736045707,7680094.94634999,33289973,-29574930.6,40253832.94635,NA
"658","2007-09-19",41158225.34635,0.0045925576751884,7990978.34634999,33167247,-29264047.2,40483908.34635,NA
"659","2007-09-20",41249370.54635,0.00221450753119234,7582484.54634999,33666886,-29672541,40312299.54635,NA
"660","2007-09-21",41553747.34635,0.00737894411401951,7727296.34634999,33826451,-29527729.2,40371025.34635,NA
"661","2007-09-24",41472773.54635,-0.00194865217148965,7479992.54634998,33992781,-29775033,40516314.54635,NA
"662","2007-09-25",41095770.54635,-0.00909037346100472,7800104.54634999,33295666,-29454921,40487960.54635,NA
"663","2007-09-26",40974517.14635,-0.0029505080057628,8305512.14634999,32669005,-28949513.4,40448077.14635,NA
"664","2007-09-27",41252014.74635,0.00677244344353967,7945677.74634999,33306337,-29309347.8,40077174.74635,NA
"665","2007-09-28",41371688.34635,0.00290103648841988,7118635.34634998,34253053,-30136390.2,40445786.34635,NA
"666","2007-10-08",40718694.14635,-0.0157836004789883,6728091.14634999,33990603,-30526934.4,40166009.14635,0.00340060215386151
"667","2007-10-09",41138084.53257,0.0102997012800226,7943846.53256999,33194238,-28947227.7,39612657.53257,NA
"668","2007-10-10",41478839.33257,0.00828319558073276,7893703.33256999,33585136,-28997370.9,40523296.33257,NA
"669","2007-10-11",41676853.43257,0.00477385826571375,7514676.43256999,34162177,-29376397.8,40496019.43257,NA
"670","2007-10-12",41759611.13257,0.00198569933149817,7631247.13256999,34128364,-29259827.1,39965886.13257,NA
"671","2007-10-15",42122281.53257,0.00868471688705785,7201694.53256999,34920587,-29689379.7,40507519.53257,NA
"672","2007-10-16",41822881.03257,-0.00710788896295889,6917344.03256999,34905537,-29973730.2,40919916.03257,NA
"673","2007-10-17",41638994.53257,-0.00439679179100061,7188077.53256999,34450917,-29702996.7,41069460.53257,NA
"674","2007-10-18",41630432.53257,-0.000205624561690709,8250764.53256999,33379668,-28640309.7,41055926.53257,NA
"675","2007-10-19",41708415.23257,0.00187321378270533,8259368.23256999,33449047,-28631706,41061485.23257,NA
"676","2007-10-22",41440582.53257,-0.00642155062729033,8980421.53256999,32460161,-27910652.7,40931875.53257,NA
"677","2007-10-23",41685481.23257,0.00590963459086313,8636615.23256999,33048866,-28254459,40546692.23257,NA
"678","2007-10-24",41976280.83257,0.00697604037188837,8392202.83256999,33584078,-28498871.4,40212345.83257,NA
"679","2007-10-25",42151888.03257,0.00418348640034227,9688735.03256999,32463153,-27202339.2,41379146.03257,NA
"680","2007-10-26",41470770.53257,-0.0161586474957827,9377558.53256999,32093212,-27513515.7,40527899.53257,NA
"681","2007-10-29",40910981.53257,-0.0134983988194856,8798453.53256999,32112528,-28092620.7,40046942.53257,NA
"682","2007-10-30",40547870.43257,-0.00887563892132293,8351127.43256999,32196743,-28539946.8,39649003.43257,NA
"683","2007-10-31",40833495.93257,0.007044155388505,7879504.93256999,32953991,-29011569.3,39972119.93257,NA
"684","2007-11-01",39810300.03257,-0.0250577589949593,8304391.03256999,31505909,-28586683.2,39659803.03257,-0.0322762840099849
"685","2007-11-02",39470458.82045,-0.00853651471709505,8590431.82044999,30880027,-26270064,38750526.82045,NA
"686","2007-11-05",40239223.82045,0.0194769714610386,9131031.82044999,31108192,-25729464,39130745.82045,NA
"687","2007-11-06",40426181.62045,0.00464615820708225,9336260.62044999,31089921,-25524235.2,39866515.62045,NA
"688","2007-11-07",40197543.62045,-0.00565569120889575,9177476.62044999,31020067,-25683019.2,39402215.62045,NA
"689","2007-11-08",40368922.62045,0.00426341971584576,10410884.62045,29958038,-24449611.2,40102719.62045,NA
"690","2007-11-09",40590432.82045,0.00548714668663908,10665975.82045,29924457,-24194520,39799516.82045,NA
"691","2007-11-12",40763277.22045,0.00425825466716678,10964886.22045,29798391,-23895609.6,39472230.22045,NA
"692","2007-11-13",41027755.62045,0.0064881535056589,11152124.62045,29875631,-23708371.2,40433561.62045,NA
"693","2007-11-14",40953752.42045,-0.00180373502963727,10160233.42045,30793519,-24700262.4,39794722.42045,NA
"694","2007-11-15",40800985.42045,-0.00373023205374745,10471153.42045,30329832,-24389342.4,40426205.42045,NA
"695","2007-11-16",40853064.22045,0.00127641034801829,10823718.22045,30029346,-24036777.6,40061361.22045,NA
