"","datetime","cap","return","cash","stockcap","IFcap","lowestcap","return2"
"1990","2013-03-15",95020124.31114,0.00124397710293267,23128895.31114,71891229,-71441880,93664625.31114,NA
"1991","2013-03-18",94454509.31114,-0.00595258114110564,23766215.31114,70688294,-70804560,93893504.31114,NA
"1992","2013-03-19",94924754.31114,0.00497853414759675,23230415.31114,71694339,-71340360,93321098.31114,NA
"1993","2013-03-20",94714380.31114,-0.00221621853568821,20968775.31114,73745605,-73602000,92326281.31114,NA
"1994","2013-03-21",94984204.31114,0.00284881766753498,20771375.31114,74212829,-73799400,93815520.31114,NA
"1995","2013-03-22",94958457.31114,-0.000271066122906727,20523215.31114,74435242,-74047560,93894062.31114,NA
"1996","2013-03-25",94739136.31114,-0.00230965209640432,20613455.31114,74125681,-73957320,94043262.31114,NA
"1997","2013-03-26",94973410.31114,0.00247283233858719,22029095.31114,72944315,-72541680,94065057.31114,NA
"1998","2013-03-27",95278521.31114,0.00321259391444872,21995255.31114,73283266,-72575520,94167296.31114,NA
"1999","2013-03-28",95297664.31114,0.000200916216336777,23879015.31114,71418649,-70691760,94407487.31114,NA
"2000","2013-03-29",95928908.31114,0.00662391890255609,24527615.31114,71401293,-70043160,95139602.31114,NA
"2001","2013-04-01",95964436.31114,0.000370357597365478,24544535.31114,71419901,-70026240,94704764.31114,0.0138962068705191
"2002","2013-04-02",94418176.2789399,-0.0161128444206837,18165928.27894,76252248,-77429220,93822330.2789399,NA
"2003","2013-04-03",95208801.2789399,0.00837365252283906,19006408.27894,76202393,-76588740,94561060.2789399,NA
"2004","2013-04-08",95202109.2789399,-7.02876195278757e-05,19463728.27894,75738381,-76131420,93899138.2789399,NA
"2005","2013-04-09",94805347.2789399,-0.00416757572920468,18944608.27894,75860739,-76650540,94098513.2789399,NA
"2006","2013-04-10",94777929.2789399,-0.000289203096522916,18932248.27894,75845681,-76662900,93654876.2789399,NA
"2007","2013-04-11",94504428.2789399,-0.00288570347633421,19197988.27894,75306440,-76397160,94048143.2789399,NA
"2008","2013-04-12",94348267.2789399,-0.00165241992194354,19525528.27894,74822739,-76069620,93709251.2789399,NA
"2009","2013-04-15",93496348.2789399,-0.00902951399712837,20162068.27894,73334280,-75433080,92971227.2789399,NA
"2010","2013-04-16",93343275.2789399,-0.00163720832757352,19890148.27894,73453127,-75705000,91969757.2789399,NA
"2011","2013-04-17",93188578.0189399,-0.00165729410648729,19709976.0189399,73478602,-73374000,92210710.0189399,NA
"2012","2013-04-18",92975731.01894,-0.00228404601212728,19278798.01894,73696933,-73686000,91904651.01894,NA
"2013","2013-04-19",92135364.01894,-0.00903856297541572,16908798.01894,75226566,-76056000,90470664.01894,NA
"2014","2013-04-22",92279259.0189399,0.00156177816772285,17010798.0189399,75268461,-75954000,91451025.0189399,NA
"2015","2013-04-23",92468750.0189399,0.0020534516858346,19512798.0189399,72955952,-73452000,92063984.0189399,NA
"2016","2013-04-24",92335962.0189399,-0.00143603109129087,18186798.0189399,74149164,-74778000,90851588.0189399,NA
"2017","2013-04-25",92486535.0189399,0.00163070808716026,19140798.0189399,73345737,-73824000,91830532.0189399,NA
"2018","2013-04-26",92124437.0189399,-0.0039151428899985,19770798.0189399,72353639,-73194000,91595514.0189399,NA
"2019","2013-05-02",91562829.0189399,-0.00609618922159094,19782798.0189399,71780031,-73182000,90432691.0189399,-0.0302414998099989
"2020","2013-05-03",91350504.8352399,-0.00231889060195023,16592723.83524,74757781,-74598000,89523129.8352399,NA
"2021","2013-05-06",92108159.83524,0.00829393336540973,15914723.83524,76193436,-75276000,90328094.83524,NA
"2022","2013-05-07",91698263.8352399,-0.00445015947265937,15440723.83524,76257540,-75750000,90772415.8352399,NA
"2023","2013-05-08",91457930.8352399,-0.00262091112686536,14906723.8352399,76551207,-76284000,90386825.8352399,NA
"2024","2013-05-09",92579944.03524,0.0122680798674675,15602317.03524,76977627,-75312000,90947693.03524,NA
"2025","2013-05-10",92960733.03524,0.00411308306532421,14852317.03524,78108416,-76062000,91000279.03524,NA
"2026","2013-05-13",94105429.03524,0.0123137583216568,15692317.03524,78413112,-75222000,92678025.03524,NA
"2027","2013-05-14",95152591.03524,0.0111275407884053,16748317.03524,78404274,-74166000,93376734.03524,NA
"2028","2013-05-15",96278601.03524,0.0118337292526587,16784317.03524,79494284,-74130000,94442351.03524,NA
"2029","2013-05-16",95927017.03524,-0.00365173565277821,15164317.03524,80762700,-75750000,93850185.03524,NA
"2030","2013-05-17",95589819.03524,-0.00351515152270532,13736317.03524,81853502,-77178000,93680038.03524,NA
"2031","2013-05-20",95706585.0352399,0.0012215317612112,13100317.0352399,82606268,-77814000,94216097.0352399,NA
"2032","2013-05-21",96851979.03524,0.0119677658499493,12926317.03524,83925662,-77988000,95429681.03524,NA
"2033","2013-05-22",97965598.03524,0.011498154308182,12854317.03524,85111281,-78060000,95706336.03524,NA
"2034","2013-05-23",98108140.0352399,0.00145502097530925,13790317.0352399,84317823,-77124000,96827185.0352399,NA
"2035","2013-05-24",98900875.03524,0.00808021637873546,13274317.03524,85626558,-77640000,96890081.03524,NA
"2036","2013-05-27",100763664.03524,0.0188349091889861,13706317.03524,87057347,-77208000,98347405.03524,NA
"2037","2013-05-28",99159581.03524,-0.0159192603341518,11918317.03524,87241264,-78996000,97456436.03524,NA
"2038","2013-05-29",100357910.03524,0.0120848533998357,12098317.03524,88259593,-78816000,98493437.03524,NA
"2039","2013-05-30",99959446.03524,-0.00397042943461146,12164317.03524,87795129,-78750000,98716083.03524,NA
"2040","2013-05-31",98655520.03524,-0.0130445500822435,12914317.03524,85741203,-7.8e+07,98185643.03524,NA
"2041","2013-06-03",98514374.03524,-0.00143069541318708,13004317.03524,85510057,-77910000,97724986.03524,0.0784217800757729
"2042","2013-06-04",97987114.05974,-0.00535211212235265,20268837.05974,77718277,-76878000,97453925.05974,NA
"2043","2013-06-05",98226912.0597399,0.00244724015296316,20532837.05974,77694075,-76614000,97478348.0597399,NA
"2044","2013-06-06",98004930.0597399,-0.00225988983411185,21102837.05974,76902093,-76044000,97638103.0597399,NA
"2045","2013-06-07",98643083.05974,0.00651143773696927,22854837.05974,75788246,-74292000,98074343.05974,NA
"2046","2013-06-13",99016147.05974,0.00378195802917136,25638837.05974,73377310,-71508000,97592963.05974,NA
"2047","2013-06-14",98918781.05974,-0.000983334566040606,25278837.05974,73639944,-71868000,97924680.05974,NA
"2048","2013-06-17",98382777.05974,-0.00541862722384634,25260837.05974,73121940,-71886000,97723197.05974,NA
"2049","2013-06-18",98328028.23974,-0.000556487849156406,25016655.23974,73311373,-72550320,97474647.23974,NA
"2050","2013-06-19",98307683.23974,-0.000206909467872163,25519635.23974,72788048,-72047340,96885771.23974,NA
"2051","2013-06-20",98392676.23974,0.000864561112611462,27367935.23974,71024741,-70199040,98033503.23974,NA
