"trade_code","weight"
"000883.SZ",0.0321695226808289
"600578.SH",0.0191353287654311
"600023.SH",0.0152566360521171
"000027.SZ",0.0228654847437034
"600674.SH",0.053733155011366
"002399.SZ",0.0161665215699569
"002422.SZ",0.0297401246649703
"600276.SH",0.0885660719480956
"002001.SZ",0.0198787617007328
"600079.SH",0.0370904096589819
"002653.SZ",0.0193124143070308
"600267.SH",0.0222558733228474
"002294.SZ",0.0193758249482752
"600395.SH",0.0145795746147577
"601225.SH",0.0294765288230445
"600348.SH",0.0223952293354635
"600188.SH",0.0122808769169481
"600157.SH",0.0249226383290543
"000937.SZ",0.0143143144777261
"601898.SH",0.0250442148612618
"000983.SZ",0.0282215921053782
"601699.SH",0.0234628036010529
"600741.SH",0.0464475079533404
"000156.SZ",0.0128910702670679
"601098.SH",0.0325979310614259
"002292.SZ",0.0193497043244455
"600373.SH",0.018724390847591
"600827.SH",0.0358430540827147
"000963.SZ",0.0301166489925769
"600085.SH",0.0428029339581422
"600535.SH",0.0684952209277988
"000999.SZ",0.0246385794344053
"002603.SZ",0.0152045893214798
"600436.SH",0.0204387399848971
"600655.SH",0.0346936357776277
"002416.SZ",0.00751209062746248
